component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing Speed;1;0;0;1;2;dk;85;774;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;103;859;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;100;962;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;104;1062;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;83;1166;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;136;1249;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;54;1385;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;134;1439;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;53;1573;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;161;1626;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;43;1787;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;141;1830;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;48;1971;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;122;2019;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;73;2141;1;0;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;104;2214;1;0;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;82;2318;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;100;2400;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;88;2500;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;107;2588;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;86;2695;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;104;2781;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;85;2885;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;131;2970;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;62;3101;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;144;3163;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;32;3307;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;156;3339;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;32;3495;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;133;3527;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;56;3660;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;121;3716;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;64;3837;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;109;3901;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;64;4010;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;125;4074;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;56;4199;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;128;4255;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;60;4383;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;125;4443;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;53;4568;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;146;4621;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;44;4767;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;176;4811;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;2;4987;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kk;164;4989;0;1;HF;RR;0;1;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;36;5153;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;146;5189;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;62;5335;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;120;5397;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;87;5517;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;92;5604;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;98;5696;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;120;5794;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;54;5914;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;70;5968;1;1;Indeterminate;LR;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;131;6038;1;1;Indeterminate;RL;0;0;844.idfx;6145BBBC128A08E8;01/01/01 00:00:00
