component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing speed;1;0;0;1;2;dk;101;2387;1;0;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;178;2488;1;0;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;16;2666;1;0;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kk;175;2682;0;0;LF;RR;0;1;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;61;2857;1;0;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;126;2918;1;0;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;97;3044;1;0;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;93;3141;1;0;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kk;193;3234;0;0;LF;RR;0;1;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;3;3427;1;0;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;158;3430;1;0;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;38;3588;1;0;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;162;3626;1;0;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;70;3788;1;0;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;100;3858;1;0;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;68;3958;1;1;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;134;4026;1;1;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;100;4160;1;1;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;72;4260;1;1;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;168;4332;1;1;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;16;4500;1;1;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kk;197;4516;0;1;LF;RR;0;1;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;4;4713;1;1;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;160;4717;1;1;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;93;4877;1;1;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;dk;86;4970;1;1;Indeterminate;LR;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kk;201;5056;0;1;LF;RR;0;1;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
Typing speed;1;0;0;1;2;kd;5;5257;1;1;Indeterminate;RL;0;0;48.idfx;5CA9FA8BC9548FB4;04/09/19 09:04:04.733
