component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing Speed;1;0;0;1;2;dk;93;2476;1;0;Indeterminate;LR;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;112;2569;1;0;Indeterminate;RL;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;112;2681;1;0;Indeterminate;LR;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;112;2793;1;0;Indeterminate;RL;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;104;2905;1;0;Indeterminate;LR;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;112;3009;1;0;Indeterminate;RL;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;112;3121;1;0;Indeterminate;LR;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;104;3233;1;0;Indeterminate;RL;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;128;3337;1;0;Indeterminate;LR;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;80;3465;1;0;Indeterminate;RL;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;120;3545;1;0;Indeterminate;LR;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;72;3665;1;0;Indeterminate;RL;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;136;3737;1;0;Indeterminate;LR;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;80;3873;1;0;Indeterminate;RL;0;0;4440.idfx;87C7BAE51A3DEF1F;01/01/01 00:00:00
