component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Tuslama hizi;1;0;1;1;2;dk;37;1318;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kk;136;1355;0;0;HF;RR;0;1;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;16;1491;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;119;1507;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;57;1626;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;103;1683;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;72;1786;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;65;1858;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;106;1923;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;46;2029;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;111;2075;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;16;2186;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kk;160;2202;0;0;HF;RR;0;1;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;8;2362;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;160;2370;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;32;2530;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;129;2562;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;48;2691;1;0;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;103;2739;1;0;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;88;2842;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;80;2930;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;96;3010;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;56;3106;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;136;3162;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;16;3298;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;160;3314;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;1;3474;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kk;160;3475;0;1;HF;RR;0;1;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;16;3635;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;143;3651;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;40;3794;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;120;3834;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;65;3954;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;96;4019;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;95;4115;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;72;4210;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;120;4282;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;32;4402;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kk;152;4434;0;1;HF;RR;0;1;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;17;4586;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;dk;135;4603;1;1;Indeterminate;LR;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
Tuslama hizi;1;0;1;1;2;kd;65;4738;1;1;Indeterminate;RL;0;0;5133.idfx;2409FB4DC24D3A9B;01/01/01 00:00:00
