component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing Speed;1;0;0;1;2;dk;1290;11269;1;0;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;229;12559;1;0;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;227;12788;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;208;13015;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;200;13223;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;151;13423;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;186;13574;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;121;13760;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;192;13881;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;73;14073;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;212;14146;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;73;14358;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;230;14431;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;25;14661;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;274;14686;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;22;14960;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dd;275;14982;0;1;Indeterminate;LL;0;1;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;5;15257;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;180;15262;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;194;15442;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;242;15636;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;217;15878;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;87;16095;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;183;16182;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;67;16365;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;221;16432;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;39;16653;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;283;16692;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;79;16975;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;222;17054;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;66;17276;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;205;17342;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;70;17547;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;227;17617;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;48;17844;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;236;17892;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;36;18128;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;261;18164;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;37;18425;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;264;18462;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;40;18726;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;240;18766;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;39;19006;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;250;19045;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;6;19295;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dd;241;19301;0;1;Indeterminate;LL;0;1;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;3;19542;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;255;19545;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;8;19800;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kk;256;19808;0;1;HF;RR;0;1;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;48;20064;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;295;20112;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;3;20407;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;250;20410;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;84;20660;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dd;264;20744;0;1;Indeterminate;LL;0;1;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;119;21008;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;148;21127;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;156;21275;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;164;21431;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;196;21595;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;222;21791;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;113;22013;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;202;22126;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;88;22328;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;157;22416;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;119;22573;1;1;Indeterminate;LR;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;97;22692;1;1;Indeterminate;RL;0;0;1161.idfx;84A088A2A3593CD7;01/01/01 00:00:00
