component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing speed;1;0;0;1;2;dk;133;6623;1;0;Indeterminate;LR;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;101;6756;1;0;Indeterminate;RL;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;129;6857;1;0;Indeterminate;LR;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;64;6986;1;0;Indeterminate;RL;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;130;7050;1;0;Indeterminate;LR;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;69;7180;1;0;Indeterminate;RL;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;142;7249;1;0;Indeterminate;LR;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;75;7391;1;0;Indeterminate;RL;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;126;7466;1;0;Indeterminate;LR;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;7592;1;0;Indeterminate;RL;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;129;7672;1;0;Indeterminate;LR;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;75;7801;1;0;Indeterminate;RL;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;142;7876;1;0;Indeterminate;LR;0;0;4174.idfx;E4F99E97B4B42740;01/01/01 00:00:00
