component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing speed;1;0;0;1;2;dk;46;3056;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;155;3102;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;58;3257;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;144;3315;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;54;3459;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;142;3513;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;69;3655;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;125;3724;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;88;3849;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;104;3937;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;81;4041;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;123;4122;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;80;4245;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;116;4325;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;70;4441;1;0;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;132;4511;1;0;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;61;4643;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;133;4704;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;51;4837;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;156;4888;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;46;5044;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;174;5090;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;41;5264;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;155;5305;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;49;5460;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;140;5509;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;47;5649;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;131;5696;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;80;5827;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;109;5907;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;97;6016;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;98;6113;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;94;6211;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;94;6305;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;90;6399;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;102;6489;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;71;6591;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;130;6662;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;64;6792;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;137;6856;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;dk;62;6993;1;1;Indeterminate;LR;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
Typing speed;1;0;0;1;2;kd;130;7055;1;1;Indeterminate;RL;0;0;4008.idfx;11FEB0D0541A5DE9;08/08/18 10:08:03.447
