component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing speed;1;0;0;1;2;dk;85;1367;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;162;1452;1;0;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;80;1614;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;139;1694;1;0;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;80;1833;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;117;1913;1;0;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;102;2030;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;119;2132;1;0;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;91;2251;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;113;2342;1;0;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;91;2455;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;108;2546;1;0;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;91;2654;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;107;2745;1;0;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;96;2852;1;0;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;114;2948;1;1;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;96;3062;1;1;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;108;3158;1;1;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;101;3266;1;1;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;101;3367;1;1;Indeterminate;RL;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;109;3468;1;1;Indeterminate;LR;0;0;1263.idfx;100F29F5BCCDA8B5;01/01/01 00:00:00
