component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing speed;1;0;0;1;2;dk;112;2487;1;0;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;157;2599;1;0;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;124;2756;1;0;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;134;2880;1;0;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;120;3014;1;0;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;111;3134;1;0;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;134;3245;1;0;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;102;3379;1;0;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;148;3481;1;0;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;96;3629;1;0;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;139;3725;1;0;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;102;3864;1;0;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;154;3966;1;0;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;61;4120;1;1;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dd;217;4181;0;1;Indeterminate;LL;0;1;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;129;4398;1;1;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;159;4527;1;1;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;131;4686;1;1;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;106;4817;1;1;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;113;4923;1;1;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;kd;119;5036;1;1;Indeterminate;RL;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
Typing speed;1;0;0;1;2;dk;119;5155;1;1;Indeterminate;LR;0;0;120.idfx;888B63684FD8DF8B;04/03/19 12:04:15.194
