component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing Speed;1;0;0;1;2;dk;131;5925;1;0;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;129;6056;1;0;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;111;6185;1;0;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;112;6296;1;0;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;96;6408;1;0;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;145;6504;1;0;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;96;6649;1;0;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;128;6745;1;0;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;111;6873;1;0;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;128;6984;1;0;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;96;7112;1;0;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;129;7208;1;0;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;112;7337;1;0;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;160;7449;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;80;7609;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;160;7689;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;81;7849;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;127;7930;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;112;8057;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;146;8169;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;78;8315;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;160;8393;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;97;8553;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;127;8650;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;112;8777;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;160;8889;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;84;9049;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;140;9133;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;112;9273;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;147;9385;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;109;9532;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;128;9641;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;129;9769;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;159;9898;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;80;10057;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;144;10137;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;110;10281;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;176;10391;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;96;10567;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;178;10663;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;128;10841;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;160;10969;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;64;11129;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;161;11193;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;111;11354;1;1;Indeterminate;LR;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;113;11465;1;1;Indeterminate;RL;0;0;1643.idfx;747BB19FDA574E8A;01/01/01 00:00:00
