component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing speed;1;0;0;1;2;dk;77;7577;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;88;7654;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;120;7742;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;48;7862;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;120;7910;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;51;8030;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;133;8081;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;40;8214;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;160;8254;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;82;8414;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;126;8496;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;55;8622;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;145;8677;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;8822;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;160;8878;1;0;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;104;9038;1;0;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;112;9142;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;72;9254;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;112;9326;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;9438;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;112;9518;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;9630;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;103;9710;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;73;9813;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;128;9886;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;10014;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;128;10094;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;48;10222;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;136;10270;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;48;10406;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;154;10454;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;62;10608;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;144;10670;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;10814;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;128;10894;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;64;11022;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;136;11086;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;72;11222;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;136;11294;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;11430;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;136;11486;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;11622;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;152;11678;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;11830;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;144;11886;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;64;12030;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;144;12094;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;12238;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;144;12294;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;12438;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;143;12494;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;49;12637;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;152;12686;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;40;12838;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;168;12878;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;72;13046;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;144;13118;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;13262;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;144;13318;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;13462;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;128;13542;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;72;13670;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;128;13742;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;72;13870;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;144;13942;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;56;14086;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;152;14142;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;14294;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;136;14374;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;72;14510;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;dk;152;14582;1;1;Indeterminate;LR;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
Typing speed;1;0;0;1;2;kd;80;14734;1;1;Indeterminate;RL;0;0;4347.idfx;0833EB1ABA8691E9;01/01/01 00:00:00
