component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Tâche de vitesse;1;0;0;1;2;kd;63;1820;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;89;1883;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;79;1972;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;56;2051;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;81;2107;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;63;2188;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;73;2251;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;79;2324;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;55;2403;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;88;2458;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;55;2546;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;72;2601;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;57;2673;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;95;2730;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;50;2825;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;88;2875;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;66;2963;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;86;3029;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;55;3115;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;85;3170;1;0;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;59;3255;1;0;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;80;3314;1;1;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;kd;65;3394;1;1;Indeterminate;RL;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
Tâche de vitesse;1;0;0;1;2;dk;87;3459;1;1;Indeterminate;LR;0;0;465.idfx;A52B628016FE98C7;01/01/01 00:00:00
