component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing Speed;1;0;0;1;2;dk;53;2455;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;123;2508;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;70;2631;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;98;2701;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;110;2799;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;73;2909;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;114;2982;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;64;3096;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;104;3160;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;101;3264;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;77;3365;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;106;3442;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;75;3548;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;126;3623;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;91;3749;1;0;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;110;3840;1;0;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;101;3950;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;86;4051;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;142;4137;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;58;4279;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;120;4337;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;89;4457;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;105;4546;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;95;4651;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;115;4746;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;89;4861;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;112;4950;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;89;5062;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;96;5151;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;99;5247;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;87;5346;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;108;5433;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;115;5541;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;98;5656;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;100;5754;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;100;5854;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;90;5954;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;113;6044;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;75;6157;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;108;6232;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;91;6340;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;116;6431;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;94;6547;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;107;6641;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;94;6748;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;99;6842;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;76;6941;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;136;7017;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;72;7153;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;170;7225;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;62;7395;1;1;Indeterminate;LR;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;104;7457;1;1;Indeterminate;RL;0;0;3881.idfx;4EBFFEE3608E06FB;01/01/01 00:00:00
