component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Tâche de vitesse;1;0;0;1;2;dk;85;3992;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;104;4077;1;0;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;72;4181;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;112;4253;1;0;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;24;4365;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kk;160;4389;0;0;LF;RR;0;1;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;1;4549;1;0;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dd;143;4550;0;0;LF;LL;0;1;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;64;4693;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;112;4757;1;0;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;80;4869;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;88;4949;1;0;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;96;5037;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;96;5133;1;0;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;96;5229;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;80;5325;1;0;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;112;5405;1;0;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;80;5517;1;1;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;dk;120;5597;1;1;Indeterminate;LR;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
Tâche de vitesse;1;0;0;1;2;kd;96;5717;1;1;Indeterminate;RL;0;0;2124.idfx;BDD91EDB3C03CED3;02/06/17 13:02:46.615
