component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Typing Speed;1;0;0;1;2;dk;232;2083;1;0;Indeterminate;LR;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;197;2315;1;0;Indeterminate;RL;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;170;2512;1;0;Indeterminate;LR;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;165;2682;1;0;Indeterminate;RL;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;176;2847;1;0;Indeterminate;LR;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;163;3023;1;0;Indeterminate;RL;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;167;3186;1;0;Indeterminate;LR;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;175;3353;1;0;Indeterminate;RL;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;180;3528;1;0;Indeterminate;LR;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;134;3708;1;1;Indeterminate;RL;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;172;3842;1;1;Indeterminate;LR;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;137;4014;1;1;Indeterminate;RL;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;dk;172;4151;1;1;Indeterminate;LR;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
Typing Speed;1;0;0;1;2;kd;148;4323;1;1;Indeterminate;RL;0;0;1169.idfx;AE6AAC666763EFAC;01/01/01 00:00:00
