component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Snelheidstaak;1;0;0;1;2;dd;157;5369;0;0;Indeterminate;LL;0;1;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;dk;0;5526;1;0;Indeterminate;LR;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;kk;128;5526;0;0;HF;RR;0;1;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;kd;64;5654;1;0;Indeterminate;RL;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;dk;80;5718;1;0;Indeterminate;LR;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;kd;49;5798;1;0;Indeterminate;RL;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;dk;95;5847;1;0;Indeterminate;LR;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;kd;80;5942;1;0;Indeterminate;RL;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;dk;96;6022;1;0;Indeterminate;LR;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;kd;112;6118;1;0;Indeterminate;RL;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;dk;48;6230;1;0;Indeterminate;LR;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;kd;96;6278;1;0;Indeterminate;RL;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;dk;96;6374;1;0;Indeterminate;LR;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
Snelheidstaak;1;0;0;1;2;kd;80;6470;1;0;Indeterminate;RL;0;0;2114.idfx;E9A2B636DC5E7DCE;01/01/01 00:00:00
