bigram;freq;percentile_100;freq10;freq20;freq30_50
hy;10;3,52;;;LF
hz;0;0;LF;LF;LF
ia;1571329;9,3;HF;HF;HF
ib;73808;6,81;;;
ic;751532;8,66;;HF;HF
id;1010732;8,93;;HF;HF
ie;143077;7,27;;;HF
if;156179;7,39;;;HF
ig;738048;8,63;;HF;HF
ih;199;4,44;;;LF
ii;92;4,07;;;LF
ij;25961;6,4;;;
ik;770;4,99;;;LF
il;425424;8,08;;HF;HF
im;1276625;9,08;HF;HF;HF
in;1884417;9,43;HF;HF;HF
io;675134;8,51;;HF;HF
ip;162149;7,43;;;HF
iq;48759;6,62;;;
ir;1307006;9,15;HF;HF;HF
is;2683358;9,65;HF;HF;HF
it;1081590;9;HF;HF;HF
iu;107092;7,11;;;HF
iv;438872;8,1;;HF;HF
iw;60;3,91;;;LF
ix;271267;7,85;;;HF
iy;0;0;LF;LF;LF
iz;448222;8,13;;HF;HF
ja;241434;7,79;;;HF
jb;0;0;LF;LF;LF
jc;0;0;LF;LF;LF
jd;0;0;LF;LF;LF
je;101728;7,08;;;HF
jf;0;0;LF;LF;LF
jg;0;0;LF;LF;LF
jh;0;0;LF;LF;LF
ji;2194;5,42;;;
jj;0;0;LF;LF;LF
jk;0;0;LF;LF;LF
jl;0;0;LF;LF;LF
jm;0;0;LF;LF;LF
jn;0;0;LF;LF;LF
jo;161444;7,4;;;HF
jp;0;0;LF;LF;LF
jq;0;0;LF;LF;LF
jr;0;0;LF;LF;LF
js;0;0;LF;LF;LF
jt;0;0;LF;LF;LF
ju;209060;7,68;;;HF
jv;0;0;LF;LF;LF
jw;0;0;LF;LF;LF
jx;0;0;LF;LF;LF
jy;0;0;LF;LF;LF
jz;0;0;LF;LF;LF
ka;2820;5,52;;;
kb;95;4,1;;;LF
kc;0;0;LF;LF;LF
kd;26;3,68;;;LF
ke;6597;5,91;;;
kf;0;0;LF;LF;LF
kg;37;3,79;;;LF
kh;85;4,01;;;LF
ki;4325;5,76;;;
kj;0;0;LF;LF;LF
kk;0;0;LF;LF;LF
kl;281;4,62;;;LF
km;50;3,86;;;LF
kn;39;3,8;;;LF
ko;442;4,8;;;LF
kp;358;4,72;;;LF
kq;0;0;LF;LF;LF
kr;108;4,16;;;LF
ks;888;5,03;;;
kt;587;4,91;;;LF
ku;346;4,71;;;LF
kv;0;0;LF;LF;LF
kw;22;3,67;;;LF
kx;0;0;LF;LF;LF
ky;1320;5,17;;;
kz;0;0;LF;LF;LF
la;1284563;9,11;HF;HF;HF
lb;1946;5,34;;;
lc;21379;6,34;;;
ld;58703;6,74;;;
le;1382916;9,21;HF;HF;HF
lf;8145;5,97;;;
lg;374358;8;;HF;HF
lh;936714;8,85;;HF;HF
li;679765;8,53;;HF;HF
lj;5;3,36;;;LF
lk;419;4,78;;;LF
ll;2921;5,57;;;
lm;186257;7,61;;;HF
ln;130;4,29;;;LF
lo;537208;8,34;;HF;HF
lp;121539;7,15;;;HF
lq;53200;6,71;;;
lr;262;4,56;;;LF
ls;32665;6,51;;;
lt;325280;7,92;;;HF
lu;196039;7,65;;;HF
lv;179807;7,58;;;HF
lw;0;0;LF;LF;LF
lx;0;0;LF;LF;LF
ly;246;4,53;;;LF
lz;366;4,74;;;LF
ma;3131767;9,74;HF;HF;HF
mb;305447;7,88;;;HF
mc;0;0;LF;LF;LF
md;0;0;LF;LF;LF
me;2897694;9,67;HF;HF;HF
mf;0;0;LF;LF;LF
mg;0;0;LF;LF;LF
mh;0;0;LF;LF;LF
mi;1050816;8,97;;HF;HF
mj;0;0;LF;LF;LF
mk;0;0;LF;LF;LF
ml;0;0;LF;LF;LF
mm;150;4,37;;;LF
mn;911;5,06;;;
mo;2301053;9,61;HF;HF;HF
mp;620147;8,45;;HF;HF
mq;0;0;LF;LF;LF
mr;0;0;LF;LF;LF
ms;326;4,66;;;LF
mt;7;3,4;;;LF
mu;537548;8,35;;HF;HF
mv;0;0;LF;LF;LF
mw;0;0;LF;LF;LF
mx;0;0;LF;LF;LF
my;0;0;LF;LF;LF
mz;0;0;LF;LF;LF
na;1428500;9,22;HF;HF;HF
nb;0;0;LF;LF;LF
nc;710681;8,6;;HF;HF
nd;1508878;9,24;HF;HF;HF
ne;547812;8,38;;HF;HF
nf;144208;7,3;;;HF
ng;241353;7,77;;;HF
nh;1362254;9,2;HF;HF;HF
ni;456633;8,16;;HF;HF
nj;43539;6,59;;;
nk;1969;5,36;;;
nl;3687;5,68;;;
nm;77;4;;;LF
nn;9542;6,07;;;
no;1842125;9,42;HF;HF;HF
np;15;3,61;;;LF
nq;47136;6,6;;;
nr;13226;6,22;;;
ns;786290;8,68;;HF;HF
nt;3188034;9,77;HF;HF;HF
nu;329044;7,94;;;HF
nv;133288;7,24;;;HF
nw;125;4,25;;;LF
nx;1706;5,28;;;
ny;111;4,19;;;LF
nz;9816;6,1;;;
oa;247035;7,8;;;HF
ob;464116;8,17;;HF;HF
oc;810116;8,72;;HF;HF
od;812910;8,74;;HF;HF
oe;52232;6,68;;;
of;89756;6,93;;;
og;179135;7,57;;;HF
oh;84986;6,88;;;
oi;819109;8,75;;HF;HF
oj;72310;6,8;;;
ok;52970;6,69;;;
ol;792146;8,71;;HF;HF
om;2010464;9,48;HF;HF;HF
on;1705594;9,36;HF;HF;HF
oo;21826;6,35;;;
op;110556;7,12;;;HF
oq;24317;6,38;;;
or;3186121;9,76;HF;HF;HF
os;4363555;9,88;HF;HF;HF
ot;252884;7,82;;;HF
ou;1597458;9,34;HF;HF;HF
ov;232274;7,71;;;HF
ow;7645;5,92;;;
