bigram;freq;percentile_100;freq10;freq20;freq30_50
is;49691791;93;HF;HF;HF
it;58856569;95;HF;HF;HF
iu;8912304;76;;;HF
iv;28143645;89;;HF;HF
iw;19793;28;;;LF
ix;196972;53;;;
iy;30342;32;;;LF
iz;16997458;84;;HF;HF
ja;463013;61;;;
jb;3862;10;;LF;LF
jc;3183;8;LF;LF;LF
jd;5043;13;;LF;LF
je;304392;57;;;
jf;5834;14;;LF;LF
jg;848;2;LF;LF;LF
jh;3041;8;LF;LF;LF
ji;85871;44;;;LF
jj;3267;9;LF;LF;LF
jk;6493;16;;LF;LF
jl;4463;11;;LF;LF
jm;4680;12;;LF;LF
jn;4537;12;;LF;LF
jo;402428;60;;;
jp;12373;24;;;LF
jq;0;0;LF;LF;LF
jr;10500;22;;;LF
js;5929;15;;LF;LF
jt;12856;24;;;LF
ju;327690;58;;;
jv;2155;6;LF;LF;LF
jw;395;1;LF;LF;LF
jx;0;0;LF;LF;LF
jy;674;2;LF;LF;LF
jz;641;2;LF;LF;LF
ka;498027;62;;;
kb;64972;42;;;LF
kc;7231;17;;LF;LF
kd;7451;18;;LF;LF
ke;875531;65;;;
kf;18965;27;;;LF
kg;74898;43;;;LF
kh;62994;41;;;LF
ki;565563;62;;;
kj;5282;13;;LF;LF
kk;45897;37;;;LF
kl;71380;43;;;LF
km;157875;51;;;
kn;53481;40;;;LF
ko;301458;57;;;
kp;8137;18;;LF;LF
kq;1070;3;LF;LF;LF
kr;93525;46;;;LF
ks;147030;50;;;
kt;51273;39;;;LF
ku;137624;49;;;LF
kv;4973;13;;LF;LF
kw;24376;30;;;LF
kx;2785;7;LF;LF;LF
ky;136716;49;;;LF
kz;1147;4;LF;LF;LF
la;93844322;98;HF;HF;HF
lb;790714;64;;;
lc;3960341;71;;;HF
ld;1284012;66;;;
le;81618074;97;HF;HF;HF
lf;446965;61;;;
lg;1526131;67;;;
lh;31643;33;;;LF
li;78208478;96;HF;HF;HF
lj;9179;20;;LF;LF
lk;97933;47;;;LF
ll;85777471;97;HF;HF;HF
lm;4024573;71;;;HF
ln;100151;47;;;LF
lo;34855440;91;HF;HF;HF
lp;830731;64;;;
lq;25880;31;;;LF
lr;35847;34;;;LF
ls;1051068;65;;;
lt;20515179;86;;HF;HF
lu;11613381;79;;;HF
lv;1382755;66;;;
lw;13546;25;;;LF
lx;9571;20;;;LF
ly;339478;59;;;
lz;357463;59;;;
ma;48908441;93;HF;HF;HF
mb;8031334;76;;;HF
mc;114761;48;;;LF
md;34030;34;;;LF
me;58955463;95;HF;HF;HF
mf;30019;32;;;LF
mg;49731;38;;;LF
mh;33861;34;;;LF
mi;33093406;90;HF;HF;HF
mj;3345;9;LF;LF;LF
mk;6479;16;;LF;LF
ml;152321;51;;;
mm;10766379;79;;;HF
mn;77037;44;;;LF
mo;30024054;89;;HF;HF
mp;20257212;85;;HF;HF
mq;113353;48;;;LF
mr;46796;37;;;LF
ms;265891;56;;;
mt;89463;45;;;LF
mu;7041957;75;;;HF
mv;12331;24;;;LF
mw;25792;31;;;LF
mx;8404;19;;LF;LF
my;135223;49;;;LF
mz;4210;11;;LF;LF
na;54965328;94;HF;HF;HF
nb;87197;45;;;LF
nc;22096853;87;;HF;HF
nd;36586106;91;HF;HF;HF
ne;84340955;97;HF;HF;HF
nf;6665404;75;;;HF
ng;8870017;76;;;HF
nh;66372;42;;;LF
ni;56910773;94;HF;HF;HF
nj;39456;35;;;LF
nk;462727;61;;;
nl;327883;58;;;
nm;76153;44;;;LF
nn;15032561;82;;HF;HF
no;79037095;96;HF;HF;HF
np;142467;50;;;LF
nq;2319986;69;;;
nr;207368;53;;;
ns;15222777;83;;HF;HF
nt;99736876;98;HF;HF;HF
nu;9744854;77;;;HF
nv;4834333;73;;;HF
nw;20447;29;;;LF
nx;9324;20;;;LF
ny;203395;53;;;
nz;20496491;86;;HF;HF
oa;584217;63;;;
ob;4886012;73;;;HF
oc;16747041;84;;HF;HF
od;9619576;77;;;HF
oe;781868;64;;;
of;4661134;72;;;HF
og;15883013;83;;HF;HF
oh;241317;55;;;
oi;5394407;74;;;HF
oj;69206;42;;;LF
ok;309845;58;;;
ol;48505024;92;HF;HF;HF
om;34284389;91;HF;HF;HF
on;150383970;100;HF;HF;HF
oo;1462669;67;;;
op;16981505;84;;HF;HF
oq;93987;46;;;LF
or;78722816;96;HF;HF;HF
os;36707966;91;HF;HF;HF
ot;18153024;85;;HF;HF
ou;1181532;66;;;
ov;17718896;84;;HF;HF
ow;577123;63;;;
ox;147493;50;;;
oy;134237;49;;;LF
oz;1163900;66;;;
pa;30680668;90;;HF;HF
pb;19733;28;;;LF
pc;165463;52;;;
pd;109507;47;;;LF
pe;55740503;94;HF;HF;HF
pf;19067;28;;;LF
pg;45776;37;;;LF
ph;299240;57;;;
pi;22869005;87;;HF;HF
pj;4424;11;;LF;LF
pk;13142;24;;;LF
pl;5599013;74;;;HF
pm;222129;54;;;
pn;50779;39;;;LF
po;42196572;92;HF;HF;HF
pp;13126802;80;;HF;HF
pq;3765;10;;LF;LF
pr;53980536;93;HF;HF;HF
ps;667233;63;;;
pt;255234;56;;;
pu;10185939;78;;;HF
pv;18644;27;;;LF
pw;4729;12;;LF;LF
px;35805;34;;;LF
py;88732;45;;;LF
pz;95671;46;;;LF
qa;32346;33;;;LF
qb;3059;8;LF;LF;LF
qc;3269;9;LF;LF;LF
qd;921;3;LF;LF;LF
qe;3954;11;;LF;LF
qf;633;1;LF;LF;LF
qg;;0;LF;LF;LF
qh;;0;LF;LF;LF
qi;8143;18;;LF;LF
qj;;0;LF;LF;LF
qk;74;0;LF;LF;LF
ql;23044;30;;;LF
qm;3263;9;LF;LF;LF
qn;5642;14;;LF;LF
qo;2265;6;LF;LF;LF
qp;817;2;LF;LF;LF
qq;2034;6;LF;LF;LF
qr;2448;7;LF;LF;LF
qs;10980;22;;;LF
qt;3401;9;LF;LF;LF
qu;32218283;90;HF;HF;HF
qv;1472;5;LF;LF;LF
qw;922;3;LF;LF;LF
qx;2339;6;LF;LF;LF
qy;;0;LF;LF;LF
qz;626;1;LF;LF;LF
ra;85856103;97;HF;HF;HF
rb;1553887;67;;;
rc;11707137;80;;;HF
rd;9143753;76;;;HF
re;126114116;100;HF;HF;HF
rf;812460;64;;;
rg;5359786;73;;;HF
rh;47148;37;;;LF
ri;101519038;98;HF;HF;HF
rj;13501;25;;;LF
rk;470173;62;;;
rl;4249669;71;;;HF
rm;13767650;81;;HF;HF
rn;10382409;78;;;HF
ro;60545266;95;HF;HF;HF
rp;1450708;67;;;
rq;48705;38;;;LF
rr;11194862;79;;;HF
rs;15365425;83;;HF;HF
rt;27768014;88;;HF;HF
ru;7622892;75;;;HF
rv;5567741;74;;;HF
rw;44711;36;;;LF
rx;35694;34;;;LF
ry;452423;61;;;
rz;2652594;69;;;
sa;30430818;89;;HF;HF
sb;566405;63;;;
sc;27177652;88;;HF;HF
sd;217325;54;;;
se;55043741;94;HF;HF;HF
sf;2012089;68;;;
sg;375587;60;;;
sh;948552;65;;;
si;70554982;96;HF;HF;HF
sj;3044;8;LF;LF;LF
sk;264712;56;;;
sl;1260572;66;;;
sm;2714152;69;;;
sn;224128;54;;;
so;48506198;93;HF;HF;HF
sp;19270982;85;;HF;HF
sq;430474;61;;;
sr;252262;55;;;
ss;44160240;92;HF;HF;HF
st;78110381;96;HF;HF;HF
su;24467759;87;;HF;HF
sv;2308480;69;;;
sw;103869;47;;;LF
sx;16211;26;;;LF
sy;170606;52;;;
sz;11906;23;;;LF
ta;91342935;97;HF;HF;HF
tb;35669;34;;;LF
tc;240736;55;;;
td;39187;35;;;LF
te;100109510;98;HF;HF;HF
tf;53463;39;;;LF
tg;63101;41;;;LF
th;1467607;67;;;
ti;102192068;99;HF;HF;HF
tj;4360;11;;LF;LF
tk;13772;25;;;LF
tl;362681;60;;;
tm;692437;63;;;
tn;232197;54;;;
to;107418461;99;HF;HF;HF
tp;210265;53;;;
tq;2177;6;LF;LF;LF
tr;50766527;93;HF;HF;HF
ts;418904;60;;;
tt;61734711;95;HF;HF;HF
tu;25626522;88;;HF;HF
tv;180243;52;;;
tw;257670;56;;;
tx;11408;23;;;LF
ty;366087;60;;;
tz;121603;48;;;LF
ua;22408780;87;;HF;HF
ub;4679084;72;;;HF
uc;4477122;72;;;HF
ud;4822818;73;;;HF
ue;21587772;87;;HF;HF
uf;1689298;68;;;
ug;3150181;70;;;
uh;31594;33;;;LF
ui;14702206;82;;HF;HF
uj;33661;33;;;LF
uk;89330;45;;;LF
ul;13787737;81;;HF;HF
um;6862090;75;;;HF
un;51847481;93;HF;HF;HF
uo;13150371;80;;HF;HF
up;5283194;73;;;HF
uq;6486;16;;LF;LF
ur;20820998;86;;HF;HF
us;11529123;79;;;HF
