bigram;freq;percentile_100;freq10;freq20;freq30_50
kr;19;2,7;;;LF
ks;64;3,8;;;LF
kt;6;1,6;;LF;LF
ku;12;2,2;;;LF
kv;1;0;LF;LF;LF
kw;1;0;LF;LF;LF
ky;41;3,3;;;LF
la;8528;9,5;HF;HF;HF
lb;109;4,3;;;LF
lc;251;5,3;;;
ld;91;4,1;;;LF
le;10779;9,7;HF;HF;HF
lf;126;4,5;;;LF
lg;176;4,8;;;LF
lh;35;3,2;;;LF
li;8150;9,5;HF;HF;HF
lk;31;3;;;LF
ll;7006;9,3;HF;HF;HF
lm;233;5,1;;;
ln;19;2,7;;;LF
lo;4884;9;;HF;HF
lp;239;5,2;;;
lq;57;3,7;;;LF
ls;620;6,1;;;
lt;871;6,4;;;
lu;1843;7,3;;;HF
lv;194;4,9;;;LF
lw;5;1,5;;LF;LF
lx;29;2,9;;;LF
ly;494;5,9;;;
lz;12;2,2;;;LF
ma;5581;9,1;HF;HF;HF
mb;2008;7,4;;;HF
md;2;0,6;LF;LF;LF
me;8415;9,5;HF;HF;HF
mg;1;0;LF;LF;LF
mh;2;0,6;LF;LF;LF
mi;3760;8,6;;HF;HF
mk;1;0;LF;LF;LF
ml;3;1,1;;LF;LF
mm;1512;7;;;HF
mn;196;5;;;LF
mo;3386;8,5;;HF;HF
mp;3231;8,4;;HF;HF
mq;2;0,6;LF;LF;LF
mr;2;0,6;LF;LF;LF
ms;115;4,3;;;LF
mt;20;2,7;;;LF
mu;1137;6,6;;;
mv;3;1,1;;LF;LF
mw;2;0,6;LF;LF;LF
my;206;5;;;
na;5838;9,2;HF;HF;HF
nb;9;2;;LF;LF
nc;4435;8,9;;HF;HF
nd;4308;8,8;;HF;HF
ne;7530;9,3;HF;HF;HF
nf;1314;6,9;;;
ng;2373;7,8;;;HF
nh;121;4,5;;;LF
ni;4990;9;HF;HF;HF
nj;216;5,1;;;
nk;59;3,7;;;LF
nl;170;4,8;;;LF
nm;13;2,4;;;LF
nn;5115;9;HF;HF;HF
no;2881;8,1;;HF;HF
