bigram;freq;percentile_100;freq10;freq20;freq30_50
hx;4;0,01;LF;LF;LF
hy;1683;3,56;;;LF
hz;58;0,57;LF;LF;LF
ia;631386;9,46;HF;HF;HF
ib;96423;7,25;;;HF
ic;539944;9,33;HF;HF;HF
id;472071;9,19;HF;HF;HF
ie;490356;9,24;HF;HF;HF
if;69564;6,77;;;
ig;153755;8,09;;HF;HF
ih;6965;5,03;;;
ii;14117;5,66;;;
ij;24812;6,07;;;
ik;4429;4,62;;;LF
il;223048;8,54;;HF;HF
im;225391;8,55;;HF;HF
in;634188;9,49;HF;HF;HF
io;796173;9,64;HF;HF;HF
ip;74049;6,87;;;
iq;15077;5,67;;;
ir;202199;8,45;;HF;HF
is;452316;9,18;HF;HF;HF
it;271846;8,7;;HF;HF
iu;27593;6,1;;;
iv;149149;7,97;;;HF
iw;459;2,02;;;LF
ix;3017;4,24;;;LF
iy;5358;4,75;;;LF
iz;88176;7,13;;;HF
ja;75064;6,92;;;
jb;95;0,74;LF;LF;LF
jc;295;1,48;;LF;LF
jd;419;1,94;;LF;LF
je;87142;7,11;;;HF
jf;82;0,69;LF;LF;LF
jg;110;0,8;LF;LF;LF
jh;90;0,72;LF;LF;LF
ji;6469;4,99;;;LF
jj;105;0,77;LF;LF;LF
jk;236;1,3;;LF;LF
jl;251;1,38;;LF;LF
jm;380;1,75;;LF;LF
jn;435;1,99;;LF;LF
jo;107430;7,44;;;HF
jp;451;2;;LF;LF
jq;58;0,57;LF;LF;LF
jr;934;2,89;;;LF
js;411;1,9;;LF;LF
jt;517;2,13;;;LF
ju;92139;7,19;;;HF
jv;536;2,18;;;LF
jw;24;0,28;LF;LF;LF
jy;166;1,01;;LF;LF
jz;16;0,17;LF;LF;LF
ka;15397;5,7;;;
kb;260;1,41;;LF;LF
kc;768;2,58;;;LF
kd;982;2,92;;;
ke;8061;5,18;;;
kf;273;1,45;;LF;LF
kg;232;1,27;;LF;LF
kh;1313;3,26;;;LF
ki;13414;5,6;;;
kj;175;1,04;;LF;LF
kk;258;1,39;;LF;LF
kl;1510;3,38;;;LF
km;604;2,28;;;LF
kn;812;2,65;;;LF
ko;7818;5,12;;;
kp;863;2,71;;;LF
kq;377;1,73;;LF;LF
kr;1250;3,22;;;LF
ks;1903;3,67;;;LF
kt;836;2,67;;;LF
ku;2678;4,04;;;LF
kv;209;1,18;;LF;LF
kw;185;1,09;;LF;LF
kx;56;0,54;LF;LF;LF
ky;1650;3,53;;;LF
kz;50;0,49;LF;LF;LF
la;1464005;9,94;HF;HF;HF
lb;34486;6,24;;;
lc;144473;7,9;;;HF
ld;162178;8,15;;HF;HF
le;590200;9,42;HF;HF;HF
lf;38425;6,32;;;
lg;79450;7,01;;;HF
lh;24139;5,98;;;
li;436838;9,13;HF;HF;HF
lj;16303;5,73;;;
lk;2948;4,17;;;LF
ll;221792;8,52;;HF;HF
lm;120894;7,66;;;HF
ln;32080;6,15;;;
lo;683832;9,55;HF;HF;HF
lp;189002;8,38;;HF;HF
lq;36191;6,28;;;
lr;42757;6,43;;;
ls;88437;7,14;;;HF
lt;146961;7,93;;;HF
lu;119116;7,65;;;HF
lv;50195;6,53;;;
lw;1188;3,13;;;LF
lx;675;2,39;;;LF
ly;22366;5,92;;;
lz;4302;4,54;;;LF
ma;532711;9,3;HF;HF;HF
mb;130439;7,78;;;HF
mc;2740;4,08;;;LF
md;2744;4,1;;;LF
me;411714;9,07;HF;HF;HF
mf;624;2,33;;;LF
mg;787;2,61;;;LF
mh;1210;3,16;;;LF
mi;348903;8,9;;HF;HF
mj;418;1,93;;LF;LF
mk;311;1,58;;LF;LF
ml;3414;4,36;;;LF
mm;2451;3,98;;;LF
mn;8580;5,27;;;
mo;328144;8,84;;HF;HF
mp;190253;8,41;;HF;HF
mq;729;2,49;;;LF
mr;1645;3,52;;;LF
ms;22438;5,94;;;
mt;2796;4,14;;;LF
mu;151649;8;;HF;HF
mv;1224;3,2;;;LF
mw;227;1,26;;LF;LF
mx;1142;3,07;;;LF
my;1905;3,68;;;LF
mz;145;0,92;LF;LF;LF
na;748810;9,59;HF;HF;HF
nb;25911;6,09;;;
nc;449161;9,16;HF;HF;HF
nd;526709;9,28;HF;HF;HF
ne;669477;9,52;HF;HF;HF
nf;96488;7,26;;;HF
ng;96886;7,29;;;HF
nh;33001;6,19;;;
ni;361964;8,94;;HF;HF
nj;24805;6,06;;;
nk;5395;4,78;;;LF
nl;233697;8,6;;HF;HF
nm;95748;7,23;;;HF
nn;39151;6,35;;;
no;514241;9,27;HF;HF;HF
np;127915;7,75;;;HF
nq;62421;6,68;;;
nr;44257;6,47;;;
ns;288679;8,75;;HF;HF
nt;989505;9,77;HF;HF;HF
nu;181256;8,32;;HF;HF
nv;74317;6,9;;;
nw;1667;3,55;;;LF
nx;699;2,45;;;LF
ny;31912;6,13;;;
nz;39614;6,37;;;
oa;229658;8,58;;HF;HF
ob;180697;8,29;;HF;HF
oc;338378;8,87;;HF;HF
od;539494;9,31;HF;HF;HF
oe;317708;8,79;;HF;HF
of;72448;6,84;;;
og;80318;7,02;;;HF
oh;74116;6,89;;;
oi;52214;6,56;;;
oj;24141;6;;;
ok;4422;4,6;;;LF
ol;387563;9,03;HF;HF;HF
om;387442;9,01;HF;HF;HF
on;1307790;9,91;HF;HF;HF
oo;34271;6,22;;;
op;279507;8,73;;HF;HF
oq;131708;7,83;;;HF
or;801507;9,67;HF;HF;HF
os;1460757;9,92;HF;HF;HF
ot;193947;8,43;;HF;HF
ou;71531;6,8;;;
ov;82065;7,07;;;HF
ow;4259;4,53;;;LF
ox;17548;5,79;;;
oy;114968;7,59;;;HF
oz;17476;5,78;;;
pa;557890;9,39;HF;HF;HF
pb;1517;3,4;;;LF
pc;9826;5,34;;;
pd;1630;3,5;;;LF
pe;349525;8,91;;HF;HF
pf;1081;2,97;;;LF
pg;899;2,79;;;LF
ph;2986;4,21;;;LF
pi;109557;7,47;;;HF
pj;584;2,27;;;LF
pk;174;1,02;;LF;LF
pl;111899;7,51;;;HF
pm;878;2,74;;;LF
pn;3866;4,48;;;LF
po;497383;9,25;HF;HF;HF
pp;10269;5,37;;;
pq;479;2,05;;;LF
pr;402487;9,06;HF;HF;HF
ps;13172;5,58;;;
pt;24420;6,03;;;
pu;160244;8,14;;HF;HF
pv;751;2,55;;;LF
pw;304;1,5;;LF;LF
px;11;0,08;LF;LF;LF
py;1882;3,64;;;LF
pz;694;2,43;;;LF
qa;1372;3,32;;;LF
qb;27;0,29;LF;LF;LF
qc;42;0,41;LF;LF;LF
qd;50;0,49;LF;LF;LF
qe;89;0,71;LF;LF;LF
qf;15;0,14;LF;LF;LF
qg;7;0,04;LF;LF;LF
qh;34;0,34;LF;LF;LF
qi;126;0,87;LF;LF;LF
qj;9;0,07;LF;LF;LF
qk;3;0;LF;LF;LF
ql;54;0,53;LF;LF;LF
qm;22;0,22;LF;LF;LF
qn;22;0,22;LF;LF;LF
qo;34;0,34;LF;LF;LF
qp;46;0,46;LF;LF;LF
qq;33;0,32;LF;LF;LF
qr;51;0,52;LF;LF;LF
qs;182;1,08;;LF;LF
qt;13;0,1;LF;LF;LF
qu;683725;9,53;HF;HF;HF
qv;15;0,14;LF;LF;LF
qw;60;0,6;LF;LF;LF
qy;42;0,41;LF;LF;LF
qz;5;0,02;LF;LF;LF
ra;1197125;9,86;HF;HF;HF
rb;21517;5,89;;;
rc;140985;7,87;;;HF
rd;183487;8,33;;HF;HF
re;1156886;9,82;HF;HF;HF
rf;17101;5,76;;;
rg;83850;7,1;;;HF
rh;12559;5,54;;;
ri;595799;9,45;HF;HF;HF
rj;8271;5,23;;;
rk;6287;4,94;;;LF
rl;147398;7,96;;;HF
rm;154660;8,11;;HF;HF
rn;102872;7,38;;;HF
ro;690841;9,58;HF;HF;HF
rp;60574;6,67;;;
rq;49734;6,52;;;
rr;156837;8,12;;HF;HF
rs;153332;8,06;;HF;HF
rt;262674;8,69;;HF;HF
ru;124598;7,69;;;HF
rv;37422;6,31;;;
rw;1064;2,94;;;LF
rx;1525;3,41;;;LF
ry;19625;5,86;;;
rz;23236;5,97;;;
sa;544477;9,34;HF;HF;HF
sb;32530;6,16;;;
sc;326202;8,81;;HF;HF
sd;485361;9,21;HF;HF;HF
se;903532;9,71;HF;HF;HF
sf;62622;6,7;;;
sg;36788;6,3;;;
sh;81558;7,05;;;HF
si;552818;9,37;HF;HF;HF
sj;19971;5,88;;;
sk;7661;5,11;;;
sl;124408;7,68;;;HF
sm;177693;8,26;;HF;HF
sn;60407;6,65;;;
so;398491;9,04;HF;HF;HF
sp;428767;9,1;HF;HF;HF
sq;118060;7,62;;;HF
sr;73469;6,86;;;
ss;153349;8,08;;HF;HF
st;776851;9,61;HF;HF;HF
su;360789;8,93;;HF;HF
sv;44224;6,46;;;
sw;1390;3,34;;;LF
sx;510;2,1;;;LF
sy;109149;7,45;;;HF
sz;2452;3,99;;;LF
ta;887498;9,7;HF;HF;HF
tb;5800;4,85;;;LF
tc;6384;4,97;;;LF
td;4488;4,65;;;LF
te;817555;9,68;HF;HF;HF
tf;2022;3,77;;;LF
tg;1138;3,04;;;LF
th;10545;5,42;;;
ti;546093;9,36;HF;HF;HF
tj;1138;3,04;;;LF
tk;322;1,61;;LF;LF
tl;6922;5,02;;;
tm;4056;4,5;;;LF
tn;8606;5,28;;;
to;637773;9,5;HF;HF;HF
tp;3552;4,39;;;LF
tq;1094;2,98;;;LF
tr;487365;9,22;HF;HF;HF
ts;7301;5,08;;;
tt;8347;5,24;;;
tu;172856;8,23;;HF;HF
tv;2059;3,83;;;LF
tw;646;2,34;;;LF
tx;4608;4,69;;;LF
ty;3661;4,41;;;LF
tz;6303;4,96;;;LF
ua;163664;8,18;;HF;HF
ub;64945;6,73;;;
uc;127886;7,74;;;HF
ud;98377;7,34;;;HF
ue;985764;9,76;HF;HF;HF
uf;16800;5,75;;;
ug;41047;6,4;;;
uh;5507;4,81;;;LF
ui;151905;8,02;;HF;HF
uj;21805;5,91;;;
uk;1217;3,19;;;LF
ul;146465;7,91;;;HF
um;91540;7,16;;;HF
un;686367;9,56;HF;HF;HF
uo;11847;5,46;;;
up;82626;7,08;;;HF
uq;2350;3,95;;;LF
ur;212867;8,49;;HF;HF
us;185450;8,35;;HF;HF
ut;92932;7,22;;;HF
uu;8088;5,2;;;
uv;24657;6,04;;;
uw;356;1,64;;LF;LF
ux;1598;3,49;;;LF
uy;42543;6,41;;;
uz;13773;5,64;;;
va;188611;8,36;;HF;HF
vb;113;0,83;LF;LF;LF
vc;1818;3,61;;;LF
vd;1114;3;;;LF
ve;212885;8,51;;HF;HF
vf;216;1,21;;LF;LF
vg;112;0,81;LF;LF;LF
vh;317;1,6;;LF;LF
vi;258502;8,64;;HF;HF
vj;180;1,05;;LF;LF
vk;154;0,96;LF;LF;LF
vl;1156;3,09;;;LF
vm;249;1,36;;LF;LF
vn;558;2,24;;;LF
vo;126230;7,71;;;HF
vp;701;2,46;;;LF
vq;373;1,72;;LF;LF
