bigram;freq;percentile_100;freq10;freq20;freq30_50
vx;0;0;LF;LF;LF
vy;0;0;LF;LF;LF
vz;1;17;;LF;LF
wa;1395;86;;HF;HF
wb;0;0;LF;LF;LF
wc;0;0;LF;LF;LF
wd;2;20;;LF;LF
we;2215;93;HF;HF;HF
wf;1;17;;LF;LF
wg;1;17;;LF;LF
wh;3;22;;;LF
wi;1209;84;;HF;HF
wj;12;28;;;LF
wk;1;17;;LF;LF
wl;4;23;;;LF
wm;0;0;LF;LF;LF
wn;1;17;;LF;LF
wo;495;69;;;
wp;0;0;LF;LF;LF
wq;0;0;LF;LF;LF
wr;6;25;;;LF
ws;0;0;LF;LF;LF
wt;0;0;LF;LF;LF
wu;397;67;;;
wv;0;0;LF;LF;LF
ww;1;17;;LF;LF
wx;0;0;LF;LF;LF
wy;0;0;LF;LF;LF
wz;0;0;LF;LF;LF
xa;23;35;;;LF
xb;3;22;;;LF
xc;0;0;LF;LF;LF
xd;0;0;LF;LF;LF
xe;54;45;;;LF
xf;2;20;;LF;LF
xg;0;0;LF;LF;LF
xh;6;25;;;LF
xi;103;53;;;
xj;0;0;LF;LF;LF
xk;17;31;;;LF
xl;2;20;;LF;LF
xm;1;17;;LF;LF
xn;0;0;LF;LF;LF
xo;12;28;;;LF
xp;57;45;;;LF
xq;1;17;;LF;LF
xr;1;17;;LF;LF
xs;4;23;;;LF
xt;68;48;;;LF
xu;38;40;;;LF
xv;0;0;LF;LF;LF
xw;2;20;;LF;LF
xx;0;0;LF;LF;LF
xy;15;30;;;LF
xz;10;28;;;LF
ya;22;34;;;LF
yb;13;29;;;LF
yc;41;41;;;LF
yd;32;39;;;LF
ye;11;28;;;LF
yf;0;0;LF;LF;LF
yg;21;33;;;LF
yh;0;0;LF;LF;LF
yi;8;27;;;LF
yj;1;17;;LF;LF
yk;18;32;;;LF
yl;64;47;;;LF
ym;83;51;;;
yn;84;51;;;
yo;15;30;;;LF
yp;89;51;;;
yq;0;0;LF;LF;LF
yr;47;43;;;LF
ys;109;54;;;
yt;45;42;;;LF
yu;0;0;LF;LF;LF
yv;0;0;LF;LF;LF
yw;0;0;LF;LF;LF
yx;1;17;;LF;LF
yy;0;0;LF;LF;LF
yz;5;25;;;LF
za;356;67;;;
zb;93;52;;;
zc;24;36;;;LF
zd;9;27;;;LF
ze;1789;91;HF;HF;HF
zf;42;42;;;LF
zg;41;41;;;LF
zh;34;39;;;LF
zi;1092;83;;HF;HF
zj;4;23;;;LF
zk;46;43;;;LF
zl;98;53;;;
zm;31;39;;;LF
zn;12;28;;;LF
zo;130;57;;;
zp;23;35;;;LF
zq;0;0;LF;LF;LF
zr;10;28;;;LF
zs;62;47;;;LF
zt;129;56;;;
zu;1058;83;;HF;HF
zv;16;31;;;LF
zw;297;65;;;
zx;0;0;LF;LF;LF
zy;62;47;;;LF
zz;34;39;;;LF
ää;0;0;;;HF
