bigram;freq;percentile_100;freq10;freq20;freq30_50
hu;123489;5,9;;;
hv;550;1,6;;LF;LF
hw;125291;5,9;;;
hx;135;1,0;;LF;LF
hy;178524;6,2;;;
hz;258;1,3;;LF;LF
ia;3357637;9,6;HF;HF;HF
ib;84955;5,3;;;
ic;1423265;8,8;;HF;HF
id;612049;7,9;;;HF
ie;18133686;10,0;HF;HF;HF
if;29752;4,4;;;LF
ig;267998;6,8;;;
ih;4663;3,1;;;LF
ii;123746;5,9;;;
ij;292638;6,9;;;
ik;527145;7,6;;;HF
il;760396;8,1;;HF;HF
im;1035131;8,4;;HF;HF
in;1482955;8,9;;HF;HF
io;625373;7,9;;;HF
ip;61397;5,0;;;
iq;2476;2,6;;;LF
ir;184048;6,3;;;
is;1327183;8,8;;HF;HF
it;385208;7,2;;;HF
iu;327684;7,1;;;HF
iv;27169;4,3;;;LF
iw;440847;7,4;;;HF
ix;10672;3,6;;;LF
iy;6605;3,3;;;LF
iz;166059;6,2;;;
ja;2554511;9,4;HF;HF;HF
jb;23129;4,2;;;LF
jc;254950;6,8;;;
jd;244450;6,7;;;
je;5096696;9,9;HF;HF;HF
jf;3900;3,1;;;LF
jg;16049;4,0;;;LF
jh;302;1,3;;LF;LF
ji;224549;6,5;;;
jj;1315;2,1;;;LF
jk;47931;4,7;;;LF
jl;65261;5,1;;;
jm;184449;6,3;;;
jn;212606;6,5;;;
jo;198803;6,4;;;
jp;33302;4,4;;;LF
jq;3;0,0;LF;LF;LF
jr;112216;5,8;;;
js;263209;6,8;;;
jt;7055;3,3;;;LF
ju;508012;7,6;;;HF
jv;108;0,9;LF;LF;LF
jw;43966;4,7;;;LF
jx;1;0,0;LF;LF;LF
jy;399;1,5;;LF;LF
jz;2793;2,7;;;LF
ka;2283884;9,2;HF;HF;HF
kb;47980;4,7;;;LF
kc;100397;5,6;;;
kd;756;1,8;;LF;LF
ke;174953;6,2;;;
kf;998;2,0;;LF;LF
kg;2631;2,7;;;LF
kh;8022;3,4;;;LF
ki;2371963;9,3;HF;HF;HF
kj;763;1,8;;LF;LF
kk;14562;3,9;;;LF
kl;210733;6,4;;;
km;7471;3,4;;;LF
kn;233244;6,6;;;
ko;2967709;9,5;HF;HF;HF
kp;3535;3,0;;;LF
kq;15;0,2;LF;LF;LF
kr;625080;7,9;;;HF
ks;251050;6,7;;;
kt;956753;8,4;;HF;HF
ku;1136826;8,6;;HF;HF
kv;668;1,7;;LF;LF
kw;63382;5,1;;;
kx;49;0,7;LF;LF;LF
ky;29262;4,3;;;LF
kz;733;1,8;;LF;LF
la;1722386;9,0;;HF;HF
lb;126873;6,0;;;
lc;89119;5,4;;;
ld;54266;4,9;;;LF
le;2805925;9,5;HF;HF;HF
lf;23563;4,2;;;LF
lg;12433;3,8;;;LF
lh;3782;3,0;;;LF
li;2480613;9,4;HF;HF;HF
lj;933;1,9;;LF;LF
lk;602887;7,8;;;HF
ll;251244;6,7;;;
lm;61429;5,1;;;
ln;453972;7,4;;;HF
lo;581682;7,8;;;HF
lp;8538;3,5;;;LF
lq;130;1,0;LF;LF;LF
lr;2377;2,5;;;LF
ls;61141;5,0;;;
lt;44339;4,7;;;LF
lu;671793;8,0;;;HF
lv;12482;3,8;;;LF
lw;74141;5,2;;;
lx;28;0,4;LF;LF;LF
ly;89359;5,4;;;
lz;1981;2,4;;;LF
ma;2678979;9,4;HF;HF;HF
mb;66587;5,2;;;
mc;37250;4,5;;;LF
md;5754;3,2;;;LF
me;460963;7,4;;;HF
mf;5007;3,2;;;LF
mg;4550;3,1;;;LF
mh;1424;2,2;;;LF
mi;3291657;9,6;HF;HF;HF
mj;618;1,7;;LF;LF
mk;87871;5,3;;;
ml;14211;3,9;;;LF
mm;63748;5,1;;;
mn;989700;8,4;;HF;HF
mo;2368619;9,3;HF;HF;HF
mp;147546;6,0;;;
mq;31;0,5;LF;LF;LF
mr;48336;4,8;;;LF
ms;38788;4,6;;;LF
mt;34084;4,5;;;LF
mu;1158115;8,6;;HF;HF
mv;425;1,5;;LF;LF
mw;1893;2,3;;;LF
mx;115;0,9;LF;LF;LF
my;2311313;9,3;HF;HF;HF
mz;630;1,7;;LF;LF
na;5592496;9,9;HF;HF;HF
nb;7555;3,4;;;LF
nc;204040;6,4;;;
nd;305242;7,0;;;
ne;1665239;9,0;;HF;HF
nf;48277;4,8;;;LF
ng;212553;6,5;;;
nh;8033;3,4;;;LF
ni;11506139;10,0;HF;HF;HF
nj;9723;3,6;;;LF
nk;336919;7,1;;;HF
nl;11062;3,7;;;LF
nm;1996;2,4;;;LF
nn;504343;7,6;;;HF
no;1418460;8,8;;HF;HF
np;3308;2,9;;;LF
nq;611;1,7;;LF;LF
nr;21002;4,1;;;LF
ns;228631;6,6;;;
nt;559836;7,7;;;HF
nu;303448;6,9;;;
nv;3064;2,8;;;LF
nw;13380;3,9;;;LF
nx;806;1,9;;LF;LF
ny;1428798;8,8;;HF;HF
nz;14575;3,9;;;LF
oa;37106;4,5;;;LF
ob;2691928;9,4;HF;HF;HF
oc;1237700;8,7;;HF;HF
od;2716081;9,5;HF;HF;HF
oe;106613;5,7;;;
of;127858;6,0;;;
og;943279;8,3;;HF;HF
oh;120109;5,9;;;
oi;316737;7,0;;;
oj;1215074;8,7;;HF;HF
ok;996911;8,4;;HF;HF
ol;1075417;8,5;;HF;HF
om;1112175;8,6;;HF;HF
on;2200849;9,2;HF;HF;HF
oo;125799;5,9;;;
op;725226;8,1;;HF;HF
oq;629;1,7;;LF;LF
or;1555436;8,9;;HF;HF
os;2354764;9,3;HF;HF;HF
ot;1786472;9,0;HF;HF;HF
