id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
275,19,2,183,192,379.4,232.4,327.6
276,21,0,336,168,68.9,167.9,178.7
277,21,0,686,87,26.8,82.9,87.5
278,20,0,318,152,81.1,173.3,188.6
279,20,0,428,150,51.6,128.5,140.4
280,21,0,419,150,51.1,132.6,143.2
281,21,0,471,131,34.3,122.9,127.5
282,18,0,447,128.5,64.7,120.1,134.1
283,21,0,396,149,62.2,140.8,151.4
284,13,3,333,123,153.7,137.7,180.2
285,21,0,502,133,56.2,105.2,119.5
286,13,5,448,131,55.8,121.9,133.9
287,21,3,511,124,39.2,109.7,117.5
288,20,1,297,204.5,64.5,190.5,201.9
289,21,0,402,139,49,141.3,149.2
290,20,6,312,150,138.9,154.1,192
291,16,1,476,126,48.8,114.6,125.9
292,21,0,286,204,69.8,199.7,209.9
293,21,0,496,118,51.1,111.2,121
294,21,0,451,113,53.2,122.1,132.9
295,21,0,328,181,54,174.2,183
296,19,1,412,128,74,132.7,145.6
297,25,3,356,166,69.3,155,168.4
298,20,0,468,132,47.9,118.2,128.3
299,21,0,392,147,47,146,153.2
300,21,0,430,142,40.6,132.8,139.5
301,21,0,425,161,61.1,125.9,141.2
302,21,0,372,150,88.6,145.3,161.3
303,21,0,323,161,105.5,164.5,186
304,21,0,295,203,63.9,193,203.5
305,19,2,306,192,77.9,182.2,196.2
306,23,2,268,132,488.6,122,223.7
307,18,3,281,154.5,178.3,169.8,213.6
308,20,0,467,126.5,47.2,119.6,128.4
309,21,0,445,127,51.6,124.4,134.7
310,21,0,275,207,91.6,198.8,218.2
311,21,0,244,225,127.1,224.6,246
312,20,2,366,147.5,85.3,144.9,164.2
313,21,0,452,125,60.3,117.5,132.6
314,21,0,421,156,49.3,133.5,142.4
315,18,3,285,161.5,134.5,179.4,210.7
316,17,1,277,191,75.9,202.5,216.5
317,18,1,245,197,130.5,218.8,244.9
318,19,2,218,265,74.1,267.3,275.8
319,19,0,191,216,199.1,267.4,314.6
320,19,1,270,201,77.4,210.3,221.9
321,19,0,256,169,185.9,198,234.8
322,19,0,237,225,92,239.1,253.1
323,18,2,200,224,262.6,244.1,299.5
324,17,2,444,128,38.3,129.1,135.1
325,18,2,361,147,65,152.9,166.4
326,19,1,173,274,212.8,301.6,346.3
327,17,4,395,167,52.8,141.9,152.1
328,19,0,365,153,62.9,152.4,164.5
329,19,0,321,160,87.9,172.1,186.9
330,19,2,266,216,68,216,225.7
331,22,4,312,176.5,94.6,169,192.1
332,19,3,289,201,76.7,195.6,207.8
333,19,2,319,167,85.3,172.1,188.3
334,19,1,340,161,116.4,150.5,176.7
335,0,8,,0,0,,
336,17,0,534,103,38.9,105.6,112.4
337,17,0,299,144,183.1,160.4,200.5
338,17,1,444,81,175.9,97.2,135.1
339,17,1,536,109,35.6,106,111.9
340,21,0,378,169,66.4,144,158.9
341,21,0,378,169,66.4,144,158.9
342,21,0,378,169,66.4,144,158.9
343,21,0,378,169,66.4,144,158.9
344,21,0,378,169,66.4,144,158.9
345,21,0,378,169,66.4,144,158.9
346,21,0,378,169,66.4,144,158.9
347,21,0,378,169,66.4,144,158.9
348,21,0,378,169,66.4,144,158.9
349,21,0,378,169,66.4,144,158.9
350,21,0,378,169,66.4,144,158.9
351,21,0,378,169,66.4,144,158.9
352,21,0,378,169,66.4,144,158.9
353,21,0,378,169,66.4,144,158.9
354,21,0,378,169,66.4,144,158.9
355,21,0,378,169,66.4,144,158.9
356,21,0,378,169,66.4,144,158.9
357,21,0,378,169,66.4,144,158.9
358,21,0,378,169,66.4,144,158.9
359,21,0,378,169,66.4,144,158.9
360,2,18,1081,55.5,6.5,55.1,55.5
361,20,0,447,141.5,48.7,124.2,134.2
362,21,0,413,126,95,124.6,145.3
363,15,8,418,125,86.9,121.9,143.5
364,20,0,472,117,69.2,108.9,127
365,21,0,448,111,57.3,120.5,133.8
366,20,0,407,119.5,77,130.3,147.6
367,17,0,533,96,66.7,100.3,112.5
368,16,1,340,143.5,109.2,154.8,176.6
369,17,0,532,109,41.8,106.2,112.9
370,16,2,213,184,311,210.1,281.6
371,17,0,387,156,51.1,146,155.1
372,16,3,395,136,47.4,144.4,152
373,17,0,375,152,54.2,150.6,160.1
374,14,5,368,132.5,175.2,120,162.9
375,14,3,285,152.5,191.1,166.9,210.9
376,17,0,218,145,464,175,275.8
377,17,0,382,167,48.9,147.8,157.1
378,17,0,547,113,46.1,98,109.7
379,17,2,457,105,75.2,118.1,131.2
380,17,0,295,208,64.8,192.4,203.3
381,17,0,478,112,54.1,114.8,125.6
382,17,0,375,128,86.6,141.7,159.9
383,17,1,445,109,73.4,121.3,134.9
384,17,3,467,104,62.8,117.5,128.5
385,17,0,496,119,35.2,115.6,120.9
386,17,0,432,129,69.6,125.4,138.8
387,17,0,264,187,158.1,185.6,227.6
388,17,0,346,168,54.4,164.8,173.6
389,17,0,458,135,53.5,119.8,130.9
390,17,8,308,177,97,170,194.9
391,17,0,451,127,33.2,129,133.1
392,20,1,299,200,50.1,194.8,200.8
393,21,0,335,177,55.7,170.3,179
394,21,0,316,191,42,185.2,190
395,42,1,319,172,106.5,168.3,187.8
396,21,0,424,143,57.8,128.6,141.5
397,19,3,418,138,60.4,130.2,143.7
398,17,2,605,87,46,89.4,99.2
399,21,0,292,183,147.8,173.1,205.5
400,20,0,375,129,94.4,137.7,159.8
401,21,0,398,154,54.9,140,150.9
402,21,0,458,115,81.5,111.2,131
403,21,0,357,169,40.8,162.8,168
404,22,3,477,130,63.5,106.4,125.9
405,3,11,321,168,32.2,184.1,186.7
406,21,0,376,149,71.8,148.5,159.7
407,19,1,354,168,52.7,161,169.6
408,22,4,441,128.5,39.8,130.5,135.9
409,19,2,228,181,327.5,207,263.4
410,21,0,469,151,52.2,114,128
411,18,3,500,124.5,54.4,105.4,120.1
412,20,2,323,168.5,105.5,159.1,185.6
413,19,4,426,135,28.9,138.2,140.9
414,21,1,408,112,103.1,125.2,147.2
415,21,1,296,159,147.2,166.9,202.5
416,28,1,293,167,203.6,165.6,205
417,19,0,347,153,101.9,152.9,173
418,21,0,454,134,39,126.2,132.1
419,21,0,288,208,43.2,203.4,208.1
420,21,0,396,153,40.9,145.9,151.4
421,21,1,261,224,80.8,216.4,230
422,3,11,180,174,281.1,230.8,333
423,21,0,300,159,132.7,177.4,200
424,20,3,346,143.5,116.7,147.3,173.6
425,20,1,241,183.5,180.5,202.9,248.8
426,21,1,471,136,45.5,117.2,127.3
427,20,5,432,117.5,51.2,129.4,139
428,21,0,317,176,87.2,172.7,189.4
429,42,1,280,180,132.3,179.6,214
430,21,0,336,179,52.7,171.3,178.7
431,21,0,349,152,91.1,154.3,172
432,20,1,366,164,53.5,154.7,164
433,19,1,356,160,44.2,162.3,168.4
434,20,2,284,187.5,186.6,178.5,211.2
435,20,0,317,144,178.1,151.6,189.3
436,21,1,297,206,59.9,192.5,202
437,22,1,386,147.5,92.6,136.9,155.6
438,21,0,446,128,41.7,127.9,134.5
439,20,0,552,110,43.6,99.8,108.8
440,21,0,415,152,41.9,138,144.6
441,21,0,390,160,47.3,145.8,154
442,21,0,341,168,72.5,163.3,176
443,21,2,324,191,55.8,176.7,185.4
444,21,1,398,153,65,136.3,150.8
445,21,0,424,119,87.3,125.7,141.6
446,20,2,494,112,39.8,115,121.5
447,21,0,498,113,47.4,111.9,120.5
448,21,0,409,145,51,138.7,146.9
449,3,9,470,119,29.2,124.5,127.7
450,22,0,220,196,220.4,221.6,272.8
451,22,0,261,179.5,230.1,183,229.8
452,28,1,386,135.5,97.9,133.6,155.3
453,20,1,360,135,122.3,143.4,166.5
454,21,0,387,137,48.1,147.9,155.1
455,20,0,471,127.5,40.1,119.8,127.4
456,0,9,,0,0,,
457,0,9,,0,0,,
458,0,9,,0,0,,
459,21,0,321,159,90.6,171.3,187.1
460,21,0,234,223,104.3,238.7,256.4
461,18,4,472,128.5,58.7,114.8,127.1
462,18,4,472,128.5,58.7,114.8,127.1
463,21,0,364,178,57.6,154.1,164.7
464,20,2,521,111,42,107.2,115.2
465,1,6,84,712,0,712,712
466,21,0,379,137,59,148.7,158.4
467,20,0,463,115,49.6,120.8,129.7
468,16,4,456,144,57,116.1,131.6
469,19,1,331,152,122.9,152.3,181.3
470,20,2,503,121.5,33.5,114.1,119.2
471,22,0,222,156.5,579.5,159,270.8
472,20,0,479,120,46,116.3,125.2
473,23,1,170,143,645.1,185.6,353.8
474,0,9,,0,0,,
475,1,8,465,129,0,129,129
476,21,0,306,137,232.6,147.7,196.2
477,21,1,442,120,59.2,123.6,135.7
478,20,0,398,144,52.7,141.8,150.8
479,21,0,271,199,83.5,207.6,221.7
480,21,0,427,153,47.2,130,140.4
481,20,0,380,151,55.1,147.9,157.8
482,21,0,474,129,26.2,123.4,126.6
483,20,0,388,143.5,36.9,150.6,154.8
484,21,0,404,136,88.5,129.2,148.6
485,21,0,511,129,39.8,109.6,117.4
486,21,0,511,129,39.8,109.6,117.4
487,21,0,511,129,39.8,109.6,117.4
488,20,0,432,131.5,43.9,131.7,138.9
489,20,0,449,120.5,44.7,127,133.6
490,22,11,136,135,1435.7,142.1,441
491,21,0,392,136,56.7,142.7,153.1
492,21,0,358,152,55,159.3,167.6
493,20,0,512,111.5,45.5,108.9,117.2
494,18,4,273,208,51.2,213.8,219.4
495,19,0,282,191,82.5,198.5,212.8
496,21,0,426,151,56.8,126.6,141
497,5,10,515,105,30,113.3,116.6
498,19,1,309,193,51.2,186.8,194.2
499,20,0,354,148.5,74.1,156.4,169.6
500,25,3,445,121,54.4,124.1,134.8
501,20,0,241,164,297.9,182.9,249.1
502,20,0,468,115,45.4,120.9,128.3
503,3,11,336,177,16,178,178.7
504,19,2,321,184,77.4,171.5,186.7
505,22,7,557,91.5,40,101.2,107.7
506,20,0,454,119.5,51.9,122,132
507,21,0,450,111,84.4,113.8,133.2
508,20,0,536,97,40.3,105.4,112
509,17,6,205,192,232,237.8,292.1
510,20,0,355,163,58.5,159.5,169.2
511,23,3,338,167,99.9,152.7,177.3
512,20,1,346,151.5,74.7,159.1,173.2
513,21,0,433,152,59.4,123.7,138.6
514,19,1,333,199,73.5,163,180.3
515,20,2,294,168,156.6,174.8,204
516,19,1,415,153,42,137.2,144.7
517,20,0,421,158.5,57.2,129.3,142.6
518,22,3,505,90.5,81.4,99.7,118.8
519,19,0,570,103,45.2,94.4,105.2
520,19,0,570,103,45.2,94.4,105.2
521,19,0,570,103,45.2,94.4,105.2
522,20,0,300,152,173.9,159.8,200
523,20,2,379,119.5,129,119,158.3
524,20,0,496,118.5,42.1,113.8,120.8
525,21,0,391,127,87.4,135.2,153.5
526,20,0,495,113,32.6,117.3,121.2
527,21,0,436,136,40.8,131.7,137.8
528,20,0,518,105.5,38.3,110.1,115.8
529,0,6,,0,0,,
