id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
3793,164,1,359,128,224.7,131.6,167
3794,148,6,511,116,38.7,112.6,117.4
3795,174,5,411,112,160.9,125.5,146
3796,205,11,394,127,167,127.4,152.2
3797,152,2,294,160,243.1,145.9,203.9
3798,153,0,361,120,231.8,130.6,166.4
3799,155,7,457,118,81.1,118.4,131.1
3800,171,8,456,112,119.3,114.5,131.7
3801,150,10,371,114,322,117.7,161.8
3802,167,3,207,180,282.7,209.3,289.2
3803,125,17,183,200,395.9,209.1,327.7
3804,140,6,368,121,116.1,133.4,162.9
3805,183,6,493,105,112.8,107.3,121.8
3806,116,12,325,120.5,220.8,135,184.6
3807,168,18,523,104,71.8,101.3,114.7
3808,178,11,458,96,178,105,131.1
3809,180,4,741,76,42.3,73.9,81
3810,184,2,613,80.5,85.5,82.3,97.8
3811,168,5,611,85,66,85.5,98.3
3812,184,5,629,73,81.7,79.4,95.3
3813,159,6,607,72,147,75.4,98.9
3814,161,4,400,120,152.2,124.4,149.9
3815,185,10,360,102,215.9,121,166.8
3816,144,6,483,112,90.5,112.9,124.2
3817,181,3,460,112,73.3,118.6,130.3
3818,180,3,411,112,182.4,121,146
3819,159,3,335,144,149.2,150.9,179.2
3820,151,15,398,126,128.4,132.3,150.7
3821,179,15,418,121,121.1,123.9,143.5
3822,163,1,545,99,64.7,97.4,110
3823,162,3,533,88,99.3,93.3,112.5
3824,148,16,347,116,409.8,120,172.9
3825,153,19,410,104,147.4,118.8,146.2
3826,180,10,439,119.5,72.5,126.7,136.6
3827,176,8,372,113,187.2,126.5,161.5
3828,166,5,344,128,282.5,126.8,174.7
3829,165,7,483,99,141.8,101,124.2
3830,199,3,364,113,251.2,127.3,164.6
3831,203,8,455,88,203,98,131.8
3832,163,36,332,137,190.5,154.9,181
3833,132,16,274,152,210.8,173,219
3834,172,5,470,105,114.8,112.6,127.5
3835,193,9,543,101,67.1,100.9,110.6
3836,200,5,504,96,162.7,98.2,119
3837,164,5,375,114,163.2,124.7,159.9
3838,147,2,346,132,200.1,134.3,173.3
3839,206,6,635,80,58.9,85,94.5
3840,152,2,291,149.5,208.1,167.4,206.1
3841,157,12,448,108,111.7,112.2,134
3842,185,7,401,110,173.8,124.1,149.5
3843,184,6,511,104,69.6,106.9,117.3
3844,192,6,487,104,101.8,109.1,123.3
3845,184,9,711,68,72.3,72.4,84.4
3846,184,13,767,66,53,68.2,78.3
3847,203,14,825,64,47.6,65.3,72.7
3848,188,9,820,59.5,59.2,63.8,73.2
3849,199,19,688,74,68,77.5,87.2
3850,188,16,693,56,140.3,63.9,86.6
3851,201,20,794,64,57.3,66.8,75.6
3852,204,11,642,85,58.9,84.4,93.5
3853,188,7,505,104,72.3,104.5,118.8
3854,177,9,480,104,120.2,106.4,125
3855,178,5,521,103.5,56.2,107.3,115.3
3856,186,6,589,91,54.8,93.9,101.8
3857,185,8,520,90,100.5,97.1,115.4
3858,171,14,295,139,252.8,165,203.1
3859,174,4,393,124,178.3,124.8,152.6
3860,187,2,492,96,128.6,101.3,122.1
3861,190,13,499,109.5,79.6,109.4,120.2
3862,129,2,354,96,242.2,118.3,169.7
3863,184,5,396,119.5,155.8,130.4,151.7
3864,170,0,500,106.5,70.9,108.5,120
3865,166,17,409,96,247.4,109.9,146.8
3866,180,3,538,86,117.7,92.3,111.5
3867,169,6,198,216,263.8,237.8,302.9
3868,161,7,369,105,261.6,117.7,162.7
3869,164,14,419,97,179,111.2,143.3
3870,180,16,448,90,199.2,99,133.8
3871,178,4,377,128,163.3,129.7,158.9
3872,192,10,301,149,198.6,160.5,199.3
3873,176,21,433,110.5,183,111.6,138.7
3874,177,2,440,106,207.3,108.3,136.4
3875,177,6,380,96,216.9,115,158
3876,172,10,364,112,251.7,117.3,164.9
3877,160,19,472,100,96.6,110.4,127.2
3878,170,13,497,92,116.7,97,120.8
3879,184,7,369,101,274.2,114,162.4
