id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
322,152,3,198,255,193.4,269.7,302.6
323,150,2,230,211.5,196.2,229,261.1
324,165,11,402,135,100.6,134.5,149.1
325,171,15,303,149,194.3,162.8,198.1
326,164,8,161,209.5,670.7,238.5,372.6
327,141,6,262,153,267.5,179.1,229.1
328,173,10,294,170,144,182.5,203.9
329,194,9,348,136,132.4,147.5,172.6
330,163,23,283,196,157.5,196.1,212.1
331,130,31,227,190.5,215.8,210.5,264.5
332,177,24,329,146,137.2,159.6,182.4
333,198,25,380,131,104.2,137.5,158
334,116,4,321,152.5,141.2,166.2,186.9
335,114,18,342,125.5,210.6,130.4,175.3
336,161,4,483,118,60.7,113.9,124.1
337,176,2,407,128,90,124.3,147.6
338,219,6,541,89,92.3,95,110.9
339,162,4,370,141,124.9,140.7,162.1
340,161,3,379,131,103.3,137.5,158.4
341,161,3,379,131,103.3,137.5,158.4
342,161,3,379,131,103.3,137.5,158.4
343,161,3,379,131,103.3,137.5,158.4
344,161,3,379,131,103.3,137.5,158.4
345,161,3,379,131,103.3,137.5,158.4
346,161,3,379,131,103.3,137.5,158.4
347,161,3,379,131,103.3,137.5,158.4
348,161,3,379,131,103.3,137.5,158.4
349,161,3,379,131,103.3,137.5,158.4
350,161,3,379,131,103.3,137.5,158.4
351,161,3,379,131,103.3,137.5,158.4
352,161,3,379,131,103.3,137.5,158.4
353,161,3,379,131,103.3,137.5,158.4
354,161,3,379,131,103.3,137.5,158.4
355,161,3,379,131,103.3,137.5,158.4
356,161,3,379,131,103.3,137.5,158.4
357,161,3,379,131,103.3,137.5,158.4
358,161,3,379,131,103.3,137.5,158.4
359,161,3,379,131,103.3,137.5,158.4
360,171,26,444,120,74.9,123,135.1
361,164,4,525,106.5,63.8,99.2,114.4
362,152,2,391,138,114.5,133.7,153.5
363,157,9,563,96,100.6,87.4,106.6
364,154,5,483,117.5,70.1,112.3,124.2
365,161,10,336,112,199.9,133.8,178.8
366,171,6,552,88,140.8,87.4,108.7
367,219,4,520,88,218.2,94.9,115.5
368,184,10,431,120,101.3,119.2,139.2
369,210,4,509,109,68.8,106,117.9
370,180,15,283,152,202.4,175.9,211.9
371,195,0,384,110,167.9,127.5,156.4
372,178,13,354,136,120.4,146.7,169.5
373,183,5,347,135,161.5,144.8,173.1
374,196,9,639,87,56.2,84.6,93.9
375,201,2,362,151,77.2,152.6,165.5
376,192,1,430,124,88.2,124.5,139.4
377,162,5,195,167,1341.4,179.5,308.2
378,185,2,467,112,82.1,113.2,128.4
379,168,5,388,128,102.1,137.2,154.8
380,164,6,281,160,197.2,165.8,213.8
381,145,14,403,119,119.1,125.4,149
382,176,10,441,128,72.1,121.2,136.2
383,186,5,364,94,374,104.5,164.7
384,154,15,484,104,85,107.7,124
385,217,6,474,97,112.5,110.2,126.5
386,193,9,409,110,144.3,123,146.8
387,182,2,319,156,103.9,169.5,187.9
388,183,2,318,168,108.5,175.3,188.5
389,210,3,505,113,41.8,113.7,118.9
390,178,13,359,136,156.8,135.9,167.1
391,182,8,346,144,168.2,148.8,173.2
392,163,8,288,152,176.5,170.7,208.1
393,162,3,312,144.5,233.6,155.3,192.2
394,171,7,291,171,128.2,181.6,206.2
395,194,3,342,132,160.5,136.8,175.5
396,174,4,312,132.5,275.5,141.9,192
397,166,12,401,129.5,92.2,132,149.7
398,149,10,444,112,87.4,118.4,135
399,178,5,358,129.5,160.6,142.9,167.5
400,178,6,526,107,50.6,107.5,114
401,180,2,414,117.5,142.5,127.7,144.9
402,177,1,384,112,154.2,128.4,156.2
403,177,6,360,144,119.9,145.1,166.5
404,126,9,341,113,323.3,124.8,176.1
405,154,26,303,155.5,139.3,176.1,198.2
406,178,3,334,137,172.2,144.2,179.7
407,177,5,347,143,149.5,151.8,173.1
408,179,4,436,106,115.2,115.2,137.8
409,141,2,306,177,121.7,178.4,196
410,185,4,603,103,38.9,93.1,99.6
411,189,0,500,97,64.5,109.9,120
412,189,4,494,96,161.2,100,121.4
413,156,13,443,120.5,142.2,120.9,135.4
414,133,8,351,144,116.8,150.4,171
415,120,6,229,172,297.1,200.5,261.6
416,165,6,311,138,176.3,151.2,193.2
417,140,4,404,128,133.3,128.8,148.5
418,168,4,501,101.5,78.8,105.2,119.7
419,152,18,308,176,179.3,162.6,194.7
420,185,3,371,130,238.5,122.8,161.9
421,165,5,291,184,160.2,158.8,206.3
422,154,25,357,128,108.8,146.4,167.9
423,194,2,319,139,150.1,157.7,187.9
424,160,8,410,128,84.5,132,146.2
425,180,7,373,121,114.8,136.9,160.8
426,181,5,466,111,130.7,113.3,128.7
427,175,2,437,119,70.6,126,137.3
