bigram;adjacent;repetitive;hand
od;0;0;RL
oe;0;0;RL
of;0;0;RL
og;0;0;
oh;0;0;
oi;1;0;RR
oj;0;0;RR
ok;1;0;RR
ol;1;0;RR
om;0;0;RR
on;0;0;RR
oo;0;1;RR
op;1;0;RR
oq;0;0;RL
or;0;0;RL
os;0;0;RL
ot;0;0;
ou;0;0;RR
ov;0;0;RL
ow;0;0;RL
ox;0;0;RL
oy;0;0;RL
oz;0;0;
pa;0;0;RL
pb;0;0;
pc;0;0;RL
pd;0;0;RL
pe;0;0;RL
pf;0;0;RL
pg;0;0;
ph;0;0;
pi;0;0;RR
pj;0;0;RR
pk;0;0;RR
pl;1;0;RR
pm;0;0;RR
pn;0;0;RR
po;1;0;RR
pp;0;1;RR
pq;0;0;RL
pr;0;0;RL
ps;0;0;RL
pt;0;0;
pu;0;0;RR
pv;0;0;RL
pw;0;0;RL
px;0;0;RL
py;0;0;RL
pz;0;0;
qa;1;0;LL
qb;0;0;
qc;0;0;LL
qd;0;0;LL
qe;0;0;LL
qf;0;0;LL
qg;0;0;
qh;0;0;
qi;0;0;LR
qj;0;0;LR
qk;0;0;LR
ql;0;0;LR
qm;0;0;LR
qn;0;0;LR
qo;0;0;LR
qp;0;0;LR
qq;0;1;LL
qr;0;0;LL
qs;0;0;LL
qt;0;0;
qu;0;0;LR
qv;0;0;LL
qw;1;0;LL
qx;0;0;LL
qy;0;0;LL
qz;0;0;
ra;0;0;LL
rb;0;0;
rc;0;0;LL
rd;1;0;LL
re;1;0;LL
rf;1;0;LL
rg;0;0;
rh;0;0;
ri;0;0;LR
rj;0;0;LR
rk;0;0;LR
rl;0;0;LR
rm;0;0;LR
rn;0;0;LR
ro;0;0;LR
rp;0;0;LR
rq;0;0;LL
rr;0;1;LL
rs;0;0;LL
rt;0;0;
ru;0;0;LR
rv;0;0;LL
rw;0;0;LL
rx;0;0;LL
ry;0;0;LL
rz;1;0;
sa;1;0;LL
sb;0;0;
sc;0;0;LL
sd;1;0;LL
se;1;0;LL
sf;0;0;LL
sg;0;0;
sh;0;0;
si;0;0;LR
sj;0;0;LR
sk;0;0;LR
sl;0;0;LR
sm;0;0;LR
sn;0;0;LR
so;0;0;LR
sp;0;0;LR
sq;0;0;LL
sr;0;0;LL
ss;0;1;LL
st;0;0;
su;0;0;LR
sv;0;0;LL
sw;1;0;LL
sx;1;0;LL
sy;1;0;LL
sz;0;0;
ta;0;0;
tb;0;0;
tc;0;0;
td;0;0;
te;0;0;
tf;0;0;
tg;0;0;
th;0;0;
ti;0;0;
tj;0;0;
tk;0;0;
tl;0;0;
tm;0;0;
tn;0;0;
to;0;0;
tp;0;0;
tq;0;0;
tr;0;0;
ts;0;0;
tt;0;1;
tu;0;0;
tv;0;0;
tw;0;0;
tx;0;0;
ty;0;0;
tz;0;0;
ua;0;0;RL
ub;0;0;
uc;0;0;RL
ud;0;0;RL
ue;0;0;RL
uf;0;0;RL
ug;0;0;
uh;1;0;
ui;1;0;RR
uj;1;0;RR
uk;0;0;RR
ul;0;0;RR
um;0;0;RR
un;0;0;RR
uo;0;0;RR
up;0;0;RR
uq;0;0;RL
ur;0;0;RL
us;0;0;RL
ut;0;0;
uu;0;1;RR
uv;0;0;RL
uw;0;0;RL
ux;0;0;RL
uy;1;0;RL
uz;0;0;
va;0;0;LL
vb;1;0;
vc;1;0;LL
vd;0;0;LL
ve;0;0;LL
vf;1;0;LL
vg;1;0;
vh;0;0;
vi;0;0;LR
vj;0;0;LR
vk;0;0;LR
vl;0;0;LR
vm;0;0;LR
vn;0;0;LR
vo;0;0;LR
vp;0;0;LR
vq;0;0;LL
vr;0;0;LL
vs;0;0;LL
vt;0;0;
vu;0;0;LR
vv;0;1;LL
vw;0;0;LL
vx;0;0;LL
vy;0;0;LL
vz;0;0;
wa;1;0;LL
wb;0;0;
wc;0;0;LL
wd;0;0;LL
we;1;0;LL
wf;0;0;LL
wg;0;0;
wh;0;0;
wi;0;0;LR
wj;0;0;LR
wk;0;0;LR
wl;0;0;LR
wm;0;0;LR
wn;0;0;LR
wo;0;0;LR
wp;0;0;LR
wq;1;0;LL
wr;0;0;LL
ws;1;0;LL
wt;0;0;
wu;0;0;LR
wv;0;0;LL
