bigram;freq;percentile_100;freq10;freq20;freq30_50
ji;47011;71;;;HF
jj;147;21;;;LF
jk;939;40;;;LF
jl;85;16;;LF;LF
jm;204;23;;;LF
jn;971;40;;;LF
jo;599487;92;HF;HF;HF
jp;212;24;;;LF
jq;0;0;LF;LF;LF
jr;143;21;;;LF
js;167;21;;;LF
jt;68;15;;LF;LF
ju;117913;76;;;HF
jv;79;15;;LF;LF
jw;20;8;LF;LF;LF
jx;0;0;LF;LF;LF
jy;18131;64;;;
jz;0;0;LF;LF;LF
ka;1327135;98;HF;HF;HF
kb;217;24;;;LF
kc;88;16;;LF;LF
kd;351;29;;;LF
ke;713847;93;HF;HF;HF
kf;434;31;;;LF
kg;1013;41;;;LF
kh;3790;52;;;
ki;842314;95;HF;HF;HF
kj;808;38;;;LF
kk;473245;90;HF;HF;HF
kl;18520;65;;;
km;3570;52;;;
kn;10313;60;;;
ko;804506;95;HF;HF;HF
kp;2130;47;;;LF
kq;7;5;LF;LF;LF
kr;39588;70;;;
ks;694110;93;HF;HF;HF
kt;23427;67;;;
ku;773528;94;HF;HF;HF
kv;2044;47;;;LF
kw;572;35;;;LF
kx;32;11;;LF;LF
ky;146630;78;;;HF
kz;13;7;LF;LF;LF
la;1021359;97;HF;HF;HF
lb;3674;52;;;
lc;642;36;;;LF
ld;6504;57;;;
le;792326;95;HF;HF;HF
lf;3556;52;;;
lg;3837;53;;;
lh;5833;56;;;
li;1228421;98;HF;HF;HF
lj;98180;75;;;HF
lk;207691;82;;HF;HF
ll;1348140;99;HF;HF;HF
lm;224775;84;;HF;HF
ln;633;36;;;LF
lo;337072;87;;HF;HF
lp;40092;70;;;
lq;188;22;;;LF
lr;517;33;;;LF
ls;36059;69;;;
lt;289816;86;;HF;HF
lu;492944;90;HF;HF;HF
lv;74468;73;;;HF
lw;248;25;;;LF
lx;219;24;;;LF
ly;73586;73;;;HF
lz;326;28;;;LF
ma;950841;96;HF;HF;HF
mb;6836;57;;;
mc;1379;43;;;LF
md;131;20;;LF;LF
me;510332;91;HF;HF;HF
mf;586;35;;;LF
mg;368;30;;;LF
mh;548;34;;;LF
mi;924983;96;HF;HF;HF
mj;303;27;;;LF
mk;9591;60;;;
ml;1760;46;;;LF
mm;280517;85;;HF;HF
mn;1136;41;;;LF
mo;143886;78;;;HF
mp;122625;77;;;HF
mq;126;19;;LF;LF
mr;1391;43;;;LF
ms;5423;56;;;
mt;2682;49;;;LF
mu;428643;89;;HF;HF
mv;268;26;;;LF
mw;319;28;;;LF
mx;24;9;LF;LF;LF
my;152115;79;;;HF
mz;36;11;;LF;LF
a;587409;92;HF;HF;HF
nb;2551;49;;;LF
nc;6748;57;;;
nd;38863;69;;;
ne;845044;95;HF;HF;HF
nf;7223;58;;;
ng;103435;75;;;HF
nh;49653;71;;;HF
ni;498982;90;HF;HF;HF
nj;36064;69;;;
nk;307716;86;;HF;HF
nl;29345;68;;;
nm;25998;67;;;
nn;543285;91;HF;HF;HF
no;334882;87;;HF;HF
np;30427;68;;;
nq;324;28;;;LF
nr;9201;59;;;
ns;345078;87;;HF;HF
nt;627677;92;HF;HF;HF
nu;247506;84;;HF;HF
nv;39143;69;;;
nw;848;39;;;LF
nx;105;18;;LF;LF
ny;151717;79;;;HF
nz;1536;44;;;LF
oa;99528;75;;;HF
ob;8222;58;;;
oc;5258;55;;;
od;110177;76;;;HF
oe;23536;67;;;
of;19101;65;;;
og;19127;65;;;
oh;213046;83;;HF;HF
oi;909174;96;HF;HF;HF
oj;135951;78;;;HF
ok;315137;87;;HF;HF
ol;849653;96;HF;HF;HF
om;349237;88;;HF;HF
on;1072878;97;HF;HF;HF
oo;170160;80;;HF;HF
op;217379;83;;HF;HF
oq;27;9;LF;LF;LF
or;257730;85;;HF;HF
os;558191;91;HF;HF;HF
ot;454955;89;;HF;HF
ou;187489;81;;HF;HF
ov;167125;80;;HF;HF
ow;4474;54;;;
ox;574;35;;;LF
oy;10511;61;;;
oz;2009;47;;;LF
pa;500208;91;HF;HF;HF
pb;103;17;;LF;LF
pc;203;23;;;LF
pd;188;22;;;LF
pe;274253;85;;HF;HF
pf;303;27;;;LF
pg;28;10;;LF;LF
ph;3786;52;;;
pi;353277;88;;HF;HF
pj;240;25;;;LF
pk;1377;43;;;LF
pl;9579;60;;;
pm;848;39;;;LF
pn;296;27;;;LF
po;191754;81;;HF;HF
pp;124059;77;;;HF
pq;2;3;LF;LF;LF
pr;67370;73;;;HF
ps;27553;67;;;
pt;7570;58;;;
pu;309727;86;;HF;HF
pv;661;37;;;LF
pw;7;5;LF;LF;LF
px;18;7;LF;LF;LF
py;60891;72;;;HF
pz;55;13;;LF;LF
qa;92;16;;LF;LF
qb;10;7;LF;LF;LF
qc;6;5;LF;LF;LF
qd;2;3;LF;LF;LF
qe;5;4;LF;LF;LF
qf;0;0;LF;LF;LF
qg;0;0;LF;LF;LF
qh;0;0;LF;LF;LF
qi;124;19;;LF;LF
qj;0;0;LF;LF;LF
qk;0;0;LF;LF;LF
ql;6;5;LF;LF;LF
qm;21;8;LF;LF;LF
qn;0;0;LF;LF;LF
qo;4;4;LF;LF;LF
qp;26;9;LF;LF;LF
qq;204;23;;;LF
qr;2;3;LF;LF;LF
qs;9;6;LF;LF;LF
qt;41;12;;LF;LF
qu;2838;50;;;LF
qv;1086;41;;;LF
qw;2;3;LF;LF;LF
qx;7;5;LF;LF;LF
