bigram;freq;percentile_100;freq10;freq20;freq30_50
xo;37;27;;;LF
xp;173;43;;;LF
xq;2;13;;LF;LF
xr;2;13;;LF;LF
xs;1;10;LF;LF;LF
xt;104;36;;;LF
xu;10;22;;;LF
xv;5;19;;LF;LF
xw;3;15;;LF;LF
xx;0;0;LF;LF;LF
xy;45;28;;;LF
xz;2;13;;LF;LF
ya;71;33;;;LF
yb;37;27;;;LF
yc;255;48;;;LF
yd;111;37;;;LF
ye;62;32;;;LF
yf;26;26;;;LF
yg;55;30;;;LF
yh;4;17;;LF;LF
yi;11;23;;;LF
yj;6;20;;LF;LF
yk;6;20;;LF;LF
yl;134;40;;;LF
ym;200;45;;;LF
yn;192;44;;;LF
yo;50;29;;;LF
yp;264;49;;;LF
yq;1;10;LF;LF;LF
yr;99;35;;;LF
ys;498;56;;;
yt;94;35;;;LF
yu;2;13;;LF;LF
yv;8;21;;;LF
yw;6;20;;LF;LF
yx;10;22;;;LF
yy;0;0;LF;LF;LF
yz;3;15;;LF;LF
za;1637;74;;;HF
zb;6;20;;LF;LF
zc;1;10;LF;LF;LF
zd;1;10;LF;LF;LF
ze;3810;88;;HF;HF
zf;1;10;LF;LF;LF
zg;2;13;;LF;LF
zh;0;0;LF;LF;LF
zi;2546;81;;HF;HF
zj;4;17;;LF;LF
zk;3;15;;LF;LF
zl;2;13;;LF;LF
zm;5;19;;LF;LF
zn;1;10;LF;LF;LF
zo;1384;71;;;HF
zp;3;15;;LF;LF
zq;0;0;LF;LF;LF
zr;1;10;LF;LF;LF
zs;2;13;;LF;LF
zt;3;15;;LF;LF
zu;682;60;;;
zv;1;10;LF;LF;LF
zw;821;63;;;
zx;0;0;LF;LF;LF
zy;20;25;;;LF
zz;53;29;;;LF
