bigram;freq;percentile_100;freq10;freq20;freq30_50
td;14;36;;;LF
te;4610;99;HF;HF;HF
tf;109;56;;;
tg;18;38;;;LF
th;1796;91;HF;HF;HF
ti;5116;100;HF;HF;HF
tj;1;17;;LF;LF
tk;1;17;;LF;LF
tl;656;77;;;HF
tm;97;55;;;
tn;112;56;;;
to;1947;93;HF;HF;HF
tp;25;42;;;LF
tq;0;0;LF;LF;LF
tr;1966;93;HF;HF;HF
ts;246;65;;;
tt;780;80;;HF;HF
tu;929;82;;HF;HF
tv;4;27;;;LF
tw;148;60;;;
tx;0;0;LF;LF;LF
ty;1015;85;;HF;HF
tz;21;40;;;LF
ua;491;73;;;HF
ub;484;72;;;HF
uc;534;74;;;HF
ud;391;70;;;
ue;478;72;;;HF
uf;148;60;;;
ug;416;70;;;HF
uh;4;27;;;LF
ui;498;73;;;HF
uj;5;29;;;LF
uk;24;41;;;LF
ul;1353;88;;HF;HF
um;828;81;;HF;HF
un;1987;93;HF;HF;HF
uo;152;61;;;
up;973;83;;HF;HF
uq;1;17;;LF;LF
ur;1573;90;HF;HF;HF
us;2225;94;HF;HF;HF
ut;1502;90;;HF;HF
uu;9;32;;;LF
uv;33;44;;;LF
uw;0;0;LF;LF;LF
ux;33;44;;;LF
uy;21;40;;;LF
uz;36;45;;;LF
va;545;74;;;HF
vb;0;0;LF;LF;LF
vc;2;23;;;LF
vd;1;17;;LF;LF
ve;2397;95;HF;HF;HF
vf;0;0;LF;LF;LF
vg;0;0;LF;LF;LF
vh;1;17;;LF;LF
vi;858;81;;HF;HF
vj;0;0;LF;LF;LF
vk;0;0;LF;LF;LF
vl;0;0;LF;LF;LF
vm;0;0;LF;LF;LF
vn;0;0;LF;LF;LF
vo;287;66;;;
vp;1;17;;LF;LF
vq;0;0;LF;LF;LF
vr;5;29;;;LF
vs;1;17;;LF;LF
vt;1;17;;LF;LF
vu;46;47;;;LF
vv;9;32;;;LF
vw;0;0;LF;LF;LF
vx;0;0;LF;LF;LF
vy;51;48;;;LF
vz;0;0;LF;LF;LF
wa;949;83;;HF;HF
wb;19;39;;;LF
wc;3;25;;;LF
wd;60;50;;;LF
we;644;77;;;HF
wf;21;40;;;LF
wg;3;25;;;LF
wh;313;67;;;
wi;646;77;;;HF
wj;0;0;LF;LF;LF
wk;22;40;;;LF
wl;105;55;;;
wm;13;35;;;LF
wn;351;69;;;
wo;483;72;;;HF
wp;9;32;;;LF
wq;0;0;LF;LF;LF
wr;113;56;;;
ws;72;52;;;
wt;14;36;;;LF
wu;4;27;;;LF
wv;0;0;LF;LF;LF
ww;1;17;;LF;LF
wx;0;0;LF;LF;LF
wy;13;35;;;LF
wz;0;0;LF;LF;LF
xa;60;50;;;LF
xb;1;17;;LF;LF
xc;92;54;;;
xd;0;0;LF;LF;LF
xe;67;51;;;
xf;5;29;;;LF
xg;2;23;;;LF
xh;31;43;;;LF
xi;149;60;;;
xj;0;0;LF;LF;LF
xk;0;0;LF;LF;LF
xl;4;27;;;LF
xm;1;17;;LF;LF
xn;1;17;;LF;LF
xo;35;45;;;LF
xp;149;60;;;
xq;3;25;;;LF
xr;0;0;LF;LF;LF
xs;1;17;;LF;LF
xt;137;59;;;
xu;35;45;;;LF
xv;0;0;LF;LF;LF
xw;3;25;;;LF
xx;0;0;LF;LF;LF
xy;16;37;;;LF
xz;0;0;LF;LF;LF
ya;126;58;;;
yb;42;46;;;LF
yc;96;55;;;
yd;44;47;;;LF
ye;214;64;;;
yf;14;36;;;LF
yg;22;40;;;LF
yh;15;37;;;LF
yi;78;52;;;
yj;3;25;;;LF
yk;0;0;LF;LF;LF
yl;113;56;;;
ym;143;60;;;
yn;93;54;;;
yo;86;53;;;
yp;120;57;;;
yq;0;0;LF;LF;LF
yr;75;52;;;
ys;177;63;;;
yt;50;48;;;LF
yu;8;32;;;LF
yv;1;17;;LF;LF
yw;31;43;;;LF
yx;10;33;;;LF
yy;0;0;LF;LF;LF
yz;0;0;LF;LF;LF
za;53;49;;;LF
zb;0;0;LF;LF;LF
zc;0;0;LF;LF;LF
zd;0;0;LF;LF;LF
ze;191;63;;;
zf;0;0;LF;LF;LF
zg;0;0;LF;LF;LF
zh;0;0;LF;LF;LF
zi;84;53;;;
zj;0;0;LF;LF;LF
zk;0;0;LF;LF;LF
zl;42;46;;;LF
zm;0;0;LF;LF;LF
zn;1;17;;LF;LF
zo;61;50;;;
zp;0;0;LF;LF;LF
zq;0;0;LF;LF;LF
zr;0;0;LF;LF;LF
zs;0;0;LF;LF;LF
zt;0;0;LF;LF;LF
zu;8;32;;;LF
zv;2;23;;;LF
zw;0;0;LF;LF;LF
zx;0;0;LF;LF;LF
zy;27;43;;;LF
zz;82;53;;;
