bigram;freq;percentile_100;freq10;freq20;freq30-50
eö;125;2,2;;;LF
éo;11;1,0;LF;LF;LF
éö;4;0,6;LF;LF;LF
ep;31719;6,7;;;
ép;65;1,8;;LF;LF
eq;598;3,3;;;LF
er;1440612;10,0;HF;HF;HF
ér;161;2,4;;;LF
es;254459;9,2;HF;HF;HF
és;78;2,0;;LF;LF
et;1052097;9,9;HF;HF;HF
ét;192;2,5;;;LF
eu;4809;4,7;;;LF
éu;29;1,5;;LF;LF
ev;79034;7,9;;;HF
év;76;1,9;;LF;LF
ew;3972;4,6;;;LF
ex;37444;6,8;;;
ey;5007;4,8;;;LF
ez;265;2,8;;;LF
fa;148100;8,7;;HF;HF
fä;38380;6,9;;;
få;109886;8,4;;HF;HF
fb;367;3,0;;;LF
fc;138;2,3;;;LF
fd;99;2,1;;;LF
fe;59786;7,5;;;HF
fé;1174;3,6;;;LF
ff;46970;7,2;;;HF
fg;72;1,9;;LF;LF
fh;170;2,5;;;LF
fi;186646;8,9;;HF;HF
fj;3074;4,3;;;LF
fk;116;2,2;;;LF
fl;58173;7,5;;;HF
fm;287;2,8;;;LF
fn;418;3,1;;;LF
fo;92805;8,1;;HF;HF
fö;452260;9,6;HF;HF;HF
fp;293;2,9;;;LF
fr;196724;8,9;;HF;HF
fs;3364;4,5;;;LF
ft;118057;8,5;;HF;HF
fu;34671;6,8;;;
fv;69;1,9;;LF;LF
fw;11;1,0;LF;LF;LF
fx;6;0,8;LF;LF;LF
fy;18427;6,1;;;
fz;3;0,4;LF;LF;LF
ga;344533;9,4;HF;HF;HF
gä;27466;6,4;;;
gå;131348;8,6;;HF;HF
gb;3717;4,5;;;LF
gc;302;2,9;;;LF
gd;16947;6,0;;;
ge;449425;9,5;HF;HF;HF
gé;4;0,6;LF;LF;LF
gf;2220;4,1;;;LF
gg;133037;8,6;;HF;HF
gh;32886;6,7;;;
gi;80986;8,0;;;HF
gj;29162;6,6;;;
gk;3835;4,5;;;LF
gl;52838;7,4;;;HF
gm;2540;4,2;;;LF
gn;50389;7,3;;;HF
go;155839;8,8;;HF;HF
gö;69842;7,8;;;HF
gp;3355;4,4;;;LF
gq;1;0,0;LF;LF;LF
gr;138232;8,7;;HF;HF
gs;78280;7,9;;;HF
gt;199106;9,0;;HF;HF
gu;19564;6,1;;;
gv;2387;4,1;;;LF
gw;93;2,0;;;LF
gx;2;0,2;LF;LF;LF
gy;8281;5,3;;;
gz;8;0,9;LF;LF;LF
ha;495626;9,6;HF;HF;HF
hä;145008;8,7;;HF;HF
hå;51167;7,3;;;HF
hb;333;2,9;;;LF
hc;95;2,1;;;LF
hd;482;3,2;;;LF
he;306256;9,3;HF;HF;HF
hé;80;2,0;;LF;LF
hf;246;2,7;;;LF
hg;98;2,1;;;LF
hh;619;3,3;;;LF
hi;70381;7,8;;;HF
hj;23716;6,3;;;
hk;292;2,9;;;LF
hl;1020;3,6;;;LF
hm;821;3,5;;;LF
hn;558;3,3;;;LF
ho;140476;8,7;;HF;HF
hö;67895;7,7;;;HF
hp;217;2,7;;;LF
hq;7;0,8;LF;LF;LF
hr;2630;4,2;;;LF
hs;893;3,5;;;LF
ht;7669;5,2;;;
hu;89761;8,1;;HF;HF
hv;473;3,1;;;LF
hw;123;2,2;;;LF
hy;9696;5,4;;;
hz;1;0,0;LF;LF;LF
ia;36193;6,8;;;
iä;1955;4,0;;;LF
iå;115;2,2;;;LF
ib;13420;5,8;;;
ic;104476;8,3;;HF;HF
id;229753;9,1;HF;HF;HF
ie;47071;7,2;;;HF
ié;10;1,0;LF;LF;LF
if;31626;6,6;;;
ig;666784;9,8;HF;HF;HF
ih;17107;6,0;;;
ii;3126;4,3;;;LF
ij;341;3,0;;;LF
ik;169018;8,8;;HF;HF
il;498196;9,6;HF;HF;HF
im;60214;7,6;;;HF
in;1068267;9,9;HF;HF;HF
io;81319;8,0;;;HF
iö;1555;3,8;;;LF
ip;31635;6,7;;;
iq;211;2,6;;;LF
ir;82561;8,0;;HF;HF
is;314423;9,3;HF;HF;HF
