id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
2836,578,36,506,104,130.3,100.3,118.5
2837,570,7,399,128,88.8,135.3,150.4
2838,504,26,547,98,75,95.8,109.6
2839,44,7,212,146.5,335.8,185.2,283.4
2840,566,26,292,176,128.6,177,205.5
2841,43,24,116,424,375.9,387.6,516
2842,617,22,498,97,117.2,100.2,120.6
2843,604,14,498,104,94.2,102,120.4
2844,39,7,118,349,485.6,381,507.6
2845,599,19,496,110,111.3,106.5,121
2846,518,20,368,143,97.1,146.3,162.9
2847,576,7,407,128.5,94,131.5,147.4
2848,583,7,408,134,87.6,132.1,147.1
2849,579,6,397,136,111.4,133.7,151.2
2850,568,5,399,136,105.4,134.2,150.3
2851,576,5,401,128,104.2,131.6,149.7
2852,599,15,444,110,117,113.4,135.1
2853,601,16,442,132,53.5,125,135.6
2854,593,6,382,136,146.9,134.6,157.1
2855,580,35,458,113.5,85.6,114,130.9
2856,581,10,474,112,100.9,112.2,126.6
2857,589,15,489,112,84.3,109.7,122.7
2858,608,4,476,114,60.9,115.2,126.1
2859,588,10,378,130,101.4,138.7,158.6
2860,42,4,59,940.5,631.3,860,1016.5
2861,40,8,69,640.5,773.3,639.8,864.8
2862,44,13,102,372.5,593.1,418.1,590.3
2863,571,19,408,143,116.3,130.5,147.1
2864,493,21,296,189,123.3,180.2,203
2865,595,29,480,111,99.9,108.6,124.9
2866,571,10,544,99,60.5,98.4,110.4
2867,599,11,557,99,61.9,95.2,107.6
2868,608,17,547,96,70,95.9,109.6
2869,580,5,368,165,58.9,153.6,163
2870,551,3,259,207,111.9,214.8,232
2871,573,2,316,176,109.2,173.5,190.1
2872,607,33,453,126,67.4,118.7,132.4
2873,506,59,479,112,100.7,107.7,125.2
2874,607,22,483,113,95.1,109.2,124.2
2875,514,52,486,114.5,58.1,112.6,123.4
2876,608,16,491,110.5,78.3,108.2,122.1
2877,504,59,494,107,72.3,108.9,121.5
2878,402,95,401,128,110,131.1,149.7
2879,592,29,500,104,98.5,101.7,120
2880,613,4,565,93,74.5,93,106.2
2881,471,91,327,154,118.6,159.3,183.5
2882,550,15,267,185,148.8,201.6,224.6
2883,587,9,354,149,114.5,149.6,169.4
2884,621,15,536,100,62.1,100.8,111.9
2885,614,21,594,91,54.8,89.6,101
2886,561,7,367,148,125.1,143.7,163.3
2887,41,12,88,344,1013.9,437.5,680.6
2888,35,10,185,299,178,273.3,324.6
2889,574,46,357,161,84.7,155.9,168.2
2890,548,5,293,174,150.8,182.7,204.6
2891,545,16,350,153,100.3,153.7,171.4
2892,591,21,699,75,59.1,76.2,85.8
2893,40,17,145,262,404.8,288.5,414.2
2894,550,16,365,140.5,155.2,141.8,164.5
2895,462,32,171,280,314.6,292.2,350.2
2896,535,9,215,239,155.3,254.8,279.2
