id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
2137,106,2,597,98,24.4,97.4,100.5
2138,145,6,630,99,22.2,92.3,95.3
2139,109,0,437,136,18,136.3,137.4
2140,151,0,607,102,27.5,95.2,98.9
2141,152,0,608,104,27.1,94.7,98.6
2142,122,0,490,121,16.4,121.2,122.3
2143,169,1,689,81,27.6,82.5,87.1
2144,74,0,297,98,830.1,107.6,201.8
2145,60,0,242,262,108.8,229.2,247.9
2146,151,1,605,99,38.1,91.6,99.1
2147,119,0,480,126,22.6,122.8,124.9
2148,112,1,455,117,129.8,115.9,132
2149,124,12,583,101,43.2,92.6,102.9
2150,149,2,600,99,28.4,95.6,100
2151,121,26,698,85,31.1,79.8,85.9
2152,53,9,432,96,244.6,99.4,139
2153,27,0,256,225,77.4,227.5,234.6
2154,164,0,658,95,22.7,88.5,91.2
2155,169,0,676,88,20.2,86.4,88.7
2156,156,0,629,91,27.4,91.4,95.3
2157,119,4,500,113,46.1,115,119.9
2158,133,9,605,100,34.2,92.9,99.2
2159,145,1,596,102,32,95.3,100.7
2160,147,0,589,101,21.4,99.4,101.8
2161,143,3,591,112,33.7,95.1,101.5
2162,143,6,620,95,30.4,91.5,96.7
2163,148,13,710,78,31.6,78.3,84.5
2164,109,7,515,117,16.4,115.5,116.6
2165,33,0,256,150,226.2,181.9,234
2166,107,8,488,143,48.3,109,123
2167,118,0,474,107.5,75.8,115.8,126.6
2168,115,13,739,80,30.3,75.1,81.2
2169,104,0,418,143.5,26.1,141.2,143.6
2170,107,2,444,95,312.8,101.4,135.1
2171,149,2,614,95,29.9,93,97.7
2172,134,9,589,99,33.2,96.3,101.9
2173,84,1,376,147.5,48.1,152.6,159.6
2174,108,1,444,136,42.5,127.5,135.1
2175,131,4,551,106,29.6,104.5,108.9
2176,29,0,200,296,29.2,297.9,299.3
2177,125,0,501,120,16.6,118.7,119.8
2178,44,2,180,120,1334.8,117.3,332.5
2179,69,0,278,176,235.9,186.7,215.8
2180,144,0,576,106,21.9,101.6,104.1
2181,97,0,391,160,33.1,148.9,153.5
2182,170,0,682,88,12.9,87,88
2183,140,0,560,87.5,164,88.7,107.1
2184,81,0,326,182,34,181.1,184.2
2185,121,0,485,122,18.1,122.4,123.8
2186,105,0,426,130,39.4,136.6,140.8
2187,128,2,527,109,44,108.6,113.9
2188,120,17,598,104,36.6,92.9,100.4
2189,139,1,554,112,30,103.9,108.4
2190,138,8,625,90,37.6,88,96.1
2191,90,5,381,103,185.5,115.9,157.4
2192,111,1,456,128,66.5,122.9,131.5
2193,133,9,597,105,39.9,91.8,100.6
2194,138,8,617,95.5,32.6,91.8,97.3
2195,110,0,442,112,209.1,116.7,135.8
2196,77,21,425,138,46,133.4,141.2
2197,74,0,297,193,62.6,193.2,202.1
2198,24,3,209,304,71.8,271.2,287
2199,151,13,702,80,32.2,78.4,85.5
2200,125,1,512,117,24.6,114.4,117.1
2201,89,0,356,169,48.1,160.9,168.3
2202,128,0,513,117,12.8,116.2,116.9
2203,101,2,454,132,44.8,125.2,132.3
2204,27,0,154,352,127.5,374.2,388.5
2205,31,0,382,142,67.7,147.3,157
2206,27,0,286,214,58.3,201.3,209.7
2207,131,6,572,104,51,90.8,104.8
2208,129,0,517,104,38,111.1,116
2209,57,0,230,241,124.6,244.2,261.3
2210,144,1,585,104,28.1,98.6,102.6
2211,166,0,666,88,18.8,88.1,90.1
2212,95,1,393,121,148.3,132.8,152.6
2213,105,11,472,128,42.4,120.4,127.2
2214,134,10,612,96,44.3,87.9,98
2215,42,57,604,96,40.3,91.2,99.3
2216,98,0,412,124,90.5,129.2,145.6
2217,72,9,428,120,176.3,110,140.2
2218,154,4,644,96,19,90.9,93.1
2219,143,1,630,104,38.6,88.2,95.2
2220,159,1,646,92,29.1,88,92.8
2221,85,9,375,95,579,93.8,160.1
2222,157,0,632,96,25.8,91.2,95
2223,111,0,447,134,20.4,132.5,134.1
2224,125,0,502,127,34.7,114.1,119.6
2225,80,2,340,95,656.9,92.6,176.3
2226,139,2,573,110,40.3,95.4,104.6
2227,144,8,638,93.5,28.8,89,94.1
2228,142,2,588,102,31.1,96.8,102
2229,146,0,586,105,30,97.5,102.4
2230,134,11,626,95,36.5,87.9,95.8
2231,153,2,624,98,16.9,94.5,96.1
2232,146,0,586,97.5,30.3,97.9,102.4
2233,151,0,606,103,26.8,95.1,99
2234,136,4,577,100,33,99.8,104.1
2235,181,0,715,84,26.4,79.5,83.9
2236,169,0,645,91,21.9,90.1,93
2237,74,1,319,182.5,79.3,174.3,188.1
2238,98,0,394,148.5,28.8,149.5,152.2
2239,130,2,537,112,19,110.1,111.7
2240,141,0,567,105,11.3,105.3,105.9
2241,66,6,284,109,732.4,118.1,211.3
2242,153,1,620,95,31.7,91,96.7
2243,143,0,575,102,21.9,102.1,104.3
2244,147,0,591,99,11.7,100.9,101.5
2245,134,0,538,112.5,38.1,104.7,111.4
2246,131,2,545,111,31,105.7,110.1
2247,121,7,532,112,42.9,103.9,112.8
2248,120,9,577,106.5,33.7,98,104
2249,29,1,208,187,249.3,234.7,287.8
2250,126,12,605,95,45.1,88.4,99.1
2251,95,0,383,152,37.7,152.9,156.7
2252,133,0,537,113,22.4,109.4,111.8
2253,139,1,565,105,25.2,103,106.1
2254,127,0,510,118,12.5,117,117.7
2255,107,0,430,137,15.7,138.7,139.6
2256,125,0,507,120,25.8,115.7,118.4
2257,195,0,786,74,16.5,74.6,76.4
2258,142,3,579,102,32,98.5,103.6
2259,97,0,388,144,38.5,150.5,154.5
2260,128,0,514,119,25.3,113.4,116.7
2261,134,0,537,106,30.1,107.5,111.7
2262,125,7,551,112,34.5,103.1,108.8
2263,81,12,386,99,484.4,92.6,155.6
2264,118,5,514,119.5,45.1,107.1,116.8
2265,84,8,451,115,101.3,111.9,133
2266,110,6,499,154.5,63.8,98.2,120.3
2267,136,8,604,95,67.3,87.6,99.4
2268,139,7,615,96,38.1,89.1,97.5
2269,127,2,524,112,44.8,105.6,114.5
2270,111,0,434,138,21.2,136.4,138.1
2271,127,0,512,114,22,115.2,117.2
2272,89,0,357,169,17.8,167.1,168.1
2273,139,17,673,96,35.9,80.4,89.2
2274,145,15,694,88,38.2,76.9,86.5
2275,185,0,747,79,20,77.6,80.3
2276,160,2,659,92,22.8,87.9,91.1
2277,125,8,550,111,34,103.2,109.2
2278,85,2,364,136,216.6,133.8,164.9
2279,159,5,683,90,24.7,84,87.8
2280,125,1,509,112,24.2,115.7,117.8
2281,127,1,540,106,25.9,108.5,111.1
2282,134,0,537,112,16.8,110.4,111.7
2283,129,1,527,114,21.1,111.7,113.8
2284,140,17,679,85,32.4,82.3,88.4
2285,119,0,480,128,26.4,122.2,125.1
2286,154,2,630,91.5,30.9,90,95.2
2287,163,2,666,88,21.8,87.3,90
2288,153,0,614,96,19.8,95.8,97.7
2289,102,2,530,112,43,104.7,113.3
2290,145,3,618,92,22.7,94.7,97.1
2291,125,0,501,121,19.3,118.1,119.7
2292,135,0,542,111,18.4,109.2,110.7
2293,104,2,433,120,198.3,116.7,138.5
2294,130,0,522,114.5,21.8,112.9,115
2295,143,2,579,102,21.7,101.2,103.6
2296,140,0,548,109,23.6,106.9,109.5
2297,129,0,520,112,14.1,114.4,115.3
2298,112,0,452,131,25.9,130.3,132.9
2299,139,1,566,104,29.9,101.3,106.1
2300,145,0,580,105,16.8,102,103.4
2301,144,0,565,106.5,18.3,104.5,106.1
2302,161,2,662,92,33.9,83.9,90.7
2303,127,18,645,95,37.6,84.4,93
2304,160,0,617,96,20.2,95.2,97.2
2305,149,0,598,100,18.2,98.5,100.3
2306,137,9,667,90,25.9,86,90
2307,111,0,449,131,32.3,129.8,133.6
2308,101,1,415,145,44,137.3,144.5
2309,148,5,651,86,36,84.6,92.2
2310,132,4,563,109,42.5,97.2,106.6
2311,52,0,209,268.5,118.7,275.2,287.8
2312,42,0,169,200,682.7,222.9,354.9
2313,92,2,379,138,60.9,146.9,158.3
2314,152,6,689,90,35.4,78.9,87.1
2315,153,2,633,95,31.9,88.4,94.7
2316,149,40,836,64,30.4,65.6,71.8
2317,158,20,771,72,33.1,70.6,77.8
2318,141,19,685,88,35.8,80.1,87.6
2319,156,0,605,101,21.7,96.7,99.1
2320,33,4,152,314,414.8,269.1,393.5
2321,129,0,508,116,14.9,117.2,118.1
2322,126,0,504,121,23.3,116.6,119
2323,137,4,583,103,44.1,92,102.9
2324,138,11,634,90,40.8,86.2,94.6
2325,115,0,461,128,28.6,127.5,130.2
2326,136,0,550,108.5,25.2,106.2,109.2
2327,123,0,493,120,23.4,119.2,121.7
2328,111,5,482,125,51.8,115.6,124.4
2329,131,0,526,112,16.7,112.8,114.1
2330,151,0,608,96,19.8,96.4,98.7
2331,101,2,433,137,39.3,135,138.5
2332,151,1,615,100,21.1,95,97.5
2333,134,1,548,107,36.2,106.6,109.4
2334,145,0,585,101,17.2,101.1,102.5
2335,104,0,419,99.5,448.9,101,143.4
2336,132,2,545,111,20.1,107.9,110
2337,143,1,583,100,30.3,97.9,102.9
2338,153,18,775,75,28,72.5,77.5
2339,125,0,504,118,24.3,116.4,119
2340,168,0,678,90,29.3,83.3,88.5
2341,138,8,627,100,37.8,87.2,95.8
2342,102,2,441,128,28.5,133.3,136
2343,111,1,455,136,45.5,123.5,132
2344,160,3,666,85,42.1,85.4,90.1
2345,71,13,391,146,101,134.3,153.6
2346,29,0,349,141,162.6,149.6,171.8
2347,122,10,557,112,40.1,99,107.7
2348,164,13,751,79,29,74.5,79.9
2349,146,11,667,73,103,77.1,90
2350,162,1,662,92,15.7,89.2,90.7
2351,169,6,724,81,29.9,76.8,82.9
2352,148,0,594,101,16.2,99.6,101
2353,166,3,691,80,30.8,80.9,86.8
2354,35,6,207,152,663.4,182.5,290
2355,119,2,515,113,32.3,112.2,116.6
2356,164,0,658,88.5,15.3,90,91.2
2357,121,1,496,128,31.8,115.8,121.1
2358,116,15,575,107,39.8,95.4,104.3
2359,124,3,520,119.5,34,109.9,115.4
2360,172,2,702,84,15.2,84.1,85.5
2361,129,0,520,112,16.3,114.1,115.3
2362,116,0,466,128.5,48,123.3,128.8
2363,131,1,534,112,20.3,110.6,112.3
2364,133,0,534,112,27.5,109.8,112.3
2365,131,1,534,113,20,110.4,112.4
2366,26,0,324,182,27.5,182.9,185
2367,133,9,598,103,42,91.1,100.4
2368,115,3,498,124,28.6,116.8,120.5
2369,135,2,556,107,39.2,101.6,107.9
2370,120,0,482,121,24.1,122.2,124.4
2371,122,1,496,119.5,55,111.8,120.9
2372,37,2,262,112,368.8,143.8,229
2373,117,11,551,112,38.9,101.1,108.9
2374,92,2,516,113,21.4,114.2,116.2
2375,122,4,519,108.5,29.8,111.8,115.5
2376,135,2,555,110,30.8,103.1,108.2
2377,81,0,326,104,651.3,109.8,184.2
2378,73,0,292,141,548.8,144.9,205.2
2379,148,1,599,103.5,22.7,97.3,100.2
2380,137,0,550,112,17.9,107.6,109.1
2381,58,3,353,138,203.9,128.8,170
2382,126,0,505,119.5,12.4,118.3,118.9
2383,30,2,463,131,50.1,119.6,129.7
