id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
4462,19,2,101,490,402.9,488.6,595.1
4463,20,0,95,544,437.7,481.2,630.6
4464,17,3,181,256,225.5,284,332.1
4465,20,1,63,344,1130.6,517,948.8
4466,20,0,37,392,2120.1,670.3,1605.6
4467,19,2,131,252,435.7,335.1,458.2
4468,20,0,131,303,278.9,387.7,456.3
4469,17,4,113,383,482.1,413.3,531.5
4470,17,5,130,296,310.7,386.1,462.5
4471,20,1,143,272,312.2,347.5,419.8
4472,19,1,96,672,333.8,525.5,626.8
4473,17,4,122,411,388.3,386.8,493.5
4474,20,0,113,453,295.4,456.8,529.6
4475,20,0,239,240,41.3,247.7,251.1
4476,18,2,75,864,320.5,716.1,795.5
4477,21,0,61,368,1049,524.3,989
4478,19,1,125,320,342.1,400.4,481.6
4479,20,0,97,455.5,499.1,446.5,619.4
4480,15,4,193,296,125.4,286.9,311.3
4481,20,0,147,367.5,239.9,336.5,409
4482,18,2,85,373,923.1,436.9,704.1
4483,19,2,80,662,486.1,594,754.6
4484,20,0,54,1021.5,427,1028.8,1106.6
4485,19,1,66,528,793.3,658.1,907.3
4486,19,2,76,230,769.8,445.8,788.1
4487,20,0,76,724,392,730.4,794.4
4488,20,0,76,724,392,730.4,794.4
4489,15,6,96,307,498.7,437.7,626.9
4490,18,2,204,269,112.4,275.3,293.8
4491,20,0,84,461.5,611.6,462.7,713.4
4492,18,4,149,309,228.6,354.1,403.2
4493,15,4,75,336,869.6,505.4,798.4
4494,19,2,79,452,1103.5,526.2,757.6
4495,15,0,77,450,543.4,600.4,775.9
4496,18,4,191,260,151.5,279.5,314.2
4497,20,0,97,412,440.1,532.3,621.6
4498,20,0,55,593.5,1785.5,614.7,1087.7
4499,20,0,101,465.5,407.1,466,591.2
4500,20,0,87,600,478.1,510.2,688.8
4501,20,0,77,462.5,893.5,396.8,783.8
4502,18,2,99,356,583.2,444.4,608.4
4503,21,1,74,601,476.9,660.4,809.3
4504,20,0,157,312,268.2,319.2,382.8
4505,15,8,186,258,207.7,277.8,323.4
4506,19,1,95,324,647.3,414.5,630.4
4507,20,0,100,325.5,625.6,390.4,601.5
4508,20,0,90,368,742.6,422.5,669.6
4509,20,0,152,366.5,144.7,370.3,394.4
4510,19,3,69,539,978.6,641.5,870.8
4511,20,0,89,731,413.7,531.7,673.6
4512,20,0,83,676,407.6,647.5,726.9
4513,20,0,140,375,266.4,357,427.1
4514,20,0,102,433.5,416.4,458.1,589.3
4515,20,0,106,561.5,318.3,462.7,567.6
4516,19,2,49,926,1119.3,756.9,1228.9
4517,20,0,105,460.5,470.2,404.1,569.4
4518,19,2,90,528,346.3,579,666.8
4519,20,0,201,289.5,121.7,275.2,299
4520,14,2,137,260.5,413,304.9,436.8
4521,20,1,133,264.5,454.9,321.6,451.1
4522,20,0,83,505,511.2,572.9,718.9
4523,20,0,131,286.5,418.5,348.1,457.4
4524,20,0,78,636,623.6,548.5,770.2
4525,18,2,187,265,214.5,270.4,320.2
4526,19,4,89,362,688.6,481.1,676.5
4527,20,1,128,297,330.8,381.3,469.6
4528,15,10,138,312,307.4,359.2,434.1
4529,20,0,208,280.5,75.8,278,289.2
4530,20,0,208,246,105.9,272.7,288.2
4531,18,4,194,279.5,145.5,279.2,309.3
4532,15,8,225,265,64.9,258,266.1
4533,18,4,170,303.5,195,317.3,352.8
4534,18,5,216,273.5,98.3,259.5,277.3
4535,20,0,184,252,186.2,290.2,326.5
4536,18,4,79,680.5,488.8,582.1,760.2
4537,19,1,56,832,1002.7,744.2,1070.3
4538,19,2,201,273,102.4,284.2,297.9
4539,20,0,160,310.5,202.7,334.3,375.6
4540,15,0,69,600,712.9,671.4,870.8
4541,17,4,68,798,646.6,600.1,880.4
4542,18,2,112,599.5,253.6,455.3,533.6
4543,19,5,89,368,675,466.6,677.1
4544,18,4,83,372,656.7,468.2,723.4
4545,19,2,86,464,637.9,486.4,696.9
4546,18,7,105,470.5,457.7,437.1,572.5
4547,18,2,98,619.5,310.4,518.5,609.7
4548,20,0,238,210,144.9,214.2,252.2
4549,20,0,72,678.5,483.7,719.9,836.6
4550,20,3,65,547.5,767.6,601.7,926.6
4551,20,0,133,193,482.7,282.5,450.4
4552,19,2,185,335,113.3,302.7,324.3
4553,18,5,104,570.5,244.3,522.9,574.8
4554,21,0,162,271,331.4,282.8,371.2
4555,18,4,207,219.5,214.1,233.9,290.6
4556,20,0,152,284,281.2,321.1,393.6
4557,18,1,161,376,133.8,346.7,373.1
4558,19,2,76,647,618.8,579.3,794.6
4559,19,2,80,550,465.5,626.8,749.5
4560,16,6,146,340,295.8,331.7,410.3
4561,15,8,133,336,454.5,339.9,450.6
4562,18,2,225,224,154.6,237.8,266.7
4563,17,4,105,464,400.6,450.4,572.6
4564,20,0,67,1019.5,497.8,746.5,898.2
4565,19,2,120,354,351.2,419.6,500.7
4566,17,2,71,481,956,470.6,846.5
4567,22,1,74,647.5,821.6,647.7,814.1
4568,19,3,84,225,986.3,311.6,710.8
4569,20,0,96,248,679.2,293.2,623.2
4570,18,2,56,732,917.1,795.2,1062.7
4571,21,1,132,330,298.5,376.6,456
4572,21,3,104,437,409.8,448.8,575.7
4573,19,8,178,267,255.9,269.1,337.8
4574,17,6,228,240,201,219.5,262.6
4575,17,3,192,325,90.4,292.9,312.5
4576,20,1,185,287.5,136.1,298.3,324
4577,19,3,172,336,111.8,330.7,349.8
4578,20,4,138,312,331.4,341.7,434.4
4579,20,0,109,479.5,247.9,496.1,549.7
4580,19,2,115,486,332.6,416.9,521.5
4581,20,0,92,402.5,654.4,435.1,654.5
4582,18,3,207,235.5,166.2,261.2,289.2
4583,18,6,209,218.5,305.6,208.6,286.5
4584,20,0,54,571,1226.9,737.6,1108
4585,17,3,102,439,473.4,436.3,587.2
4586,20,0,101,416,430.6,420.1,592
4587,18,1,120,224,524.2,316.4,499.1
4588,19,3,195,128,447.5,184.6,308.1
4589,20,0,113,156.5,719.8,261.9,528.8
4590,16,4,137,320.5,306.3,370,437.8
4591,20,0,59,564,948.5,673.9,1017
4592,20,0,72,655,559.9,654.4,836
4593,15,9,124,336,347.8,388.6,483.6
4594,20,0,87,347.5,672.1,448.2,685.8
4595,20,0,93,572,277.9,593.2,646.6
4596,20,0,211,200,146.6,254,284.8
4597,18,1,240,236,70.1,240.6,249.6
4598,17,4,224,240,112.1,241.9,268.2
4599,18,2,239,220,137,227.4,251.1
4600,17,2,184,303,116.2,307.5,326.6
4601,20,0,146,312,211.6,367.5,410.8
4602,19,1,219,227,106.7,255.8,273.8
4603,18,3,105,479.5,362.7,457.8,569.7
4604,20,2,193,261,153.4,281.3,310.5
4605,18,5,175,311.5,165.8,316.7,343.1
4606,20,0,207,280,59,283.6,289.3
4607,20,0,112,415,402.9,448.3,537.2
