id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1044,639,20,536,102,66.6,99.4,111.9
1045,609,26,475,104,135.9,108.8,126.4
1046,578,36,412,116,171.5,119.8,145.7
1047,596,17,462,110.5,170.5,109.8,129.8
1048,638,21,382,120,142.2,131.9,157.1
1049,600,59,449,112,121.1,111.4,133.6
1050,623,45,486,97,107.8,103.3,123.3
1051,622,66,375,117,171.2,125.6,159.9
1052,659,39,429,112,146.1,113.3,139.8
1053,641,58,407,112,174.5,120.4,147.3
1054,636,4,484,102,89.2,110.5,124.1
1055,575,30,271,161,213.1,185.5,221
1056,580,51,358,124,174.9,138.4,167.8
1057,613,49,471,104,161.6,103,127.3
1058,588,42,406,114.5,213.4,118.7,147.6
1059,586,107,222,184,382.4,185.6,269.7
1060,587,56,427,112,165.6,117.3,140.7
1061,601,19,421,116,128.8,123.6,142.4
1062,601,19,421,116,128.8,123.6,142.4
1063,630,16,463,119,65.8,116.8,129.7
1064,601,9,386,140,106.1,135.4,155.4
1065,616,13,267,160,227.4,179.7,224.5
1066,590,11,294,145,226.5,166.5,204.1
1067,668,26,580,96,70,90.3,103.4
1068,677,23,481,112,107.9,104.4,124.7
1069,699,18,516,103,72.6,104.2,116.2
1070,606,24,360,130,167.2,142.1,166.9
1071,564,84,444,109,122.3,115.8,135.2
1072,611,45,382,127,119.1,136.9,157.1
1073,609,50,471,96,135.4,102.8,127.3
1074,575,70,445,113,106.1,114.8,134.7
1075,598,54,448,115.5,102.4,115.1,133.9
1076,511,21,287,176,167.7,184.2,208.8
1077,635,15,449,106,130.6,114.8,133.6
1078,565,18,364,131,264.3,138.4,164.6
1079,537,22,155,248,456.4,275.3,388.3
1080,543,34,190,232,327.2,242.3,315
1081,452,34,285,160,169.4,171.4,210.4
1082,492,44,314,127.5,214.2,146.4,191.3
1083,625,28,353,128,161.5,141.7,170.1
1084,625,50,470,102,139.5,106.2,127.8
1085,625,50,470,102,139.5,106.2,127.8
1086,580,46,523,100,78.4,102.2,114.7
1087,695,34,488,98,88.3,107.6,123.1
